Rank,Sign,Freq,LogRank,LogFreq,PredLogFreq
58,904,64,4.060443010546419,4.1588830833596715,3.8707696175308888
59,527,63,4.07753744390572,4.143134726391533,3.843642057192845
60,055,62,4.0943445622221,4.127134385045092,3.8169704438873246
61,585,60,4.110873864173311,4.0943445622221,3.7907397039380974
62,125,59,4.127134385045092,4.07753744390572,3.7649354990366675
63,388,58,4.143134726391533,4.060443010546419,3.739544179173543
64,845,55,4.1588830833596715,4.007333185232471,3.7145527392761917
65,717,54,4.174387269895637,3.9889840465642745,3.689948779208814
66,850,54,4.189654742026425,3.9889840465642745,3.66572046682594
67,413,53,4.204692619390966,3.970291913552122,3.6418565038042745
68,752,53,4.219507705176107,3.970291913552122,3.618346094005809
69,790,50,4.23410650459726,3.912023005428146,3.595178914150453
70,742,50,4.248495242049359,3.912023005428146,3.572345086598765
71,416,49,4.2626798770413155,3.8918202981106265,3.549835154065198
72,595,49,4.276666119016055,3.8918202981106265,3.5276400560998242
73,350,48,4.290459441148391,3.871201010907891,3.5057511071921716
74,016,48,4.30406509320417,3.871201010907891,3.484159976364733
75,005,48,4.31748811353631,3.871201010907891,3.462858668136181
76,440,46,4.330733340286331,3.828641396489095,3.4418395047453822
77,832,45,4.343805421853684,3.8066624897703196,3.4210951095373794
78,013,44,4.356708826689592,3.784189633918261,3.400618391421313
79,154,44,4.3694478524670215,3.784189633918261,3.3804025303183707
80,923,44,4.382026634673881,3.784189633918261,3.360440963525048
81,455,43,4.394449154672439,3.7612001156935624,3.340727372923457
82,335,43,4.406719247264253,3.7612001156935624,3.321255672976367
83,482,41,4.418840607796598,3.713572066704308,3.302019999449847
84,630,40,4.430816798843313,3.6888794541139363,3.2830146988112654
85,460,39,4.442651256490317,3.6635616461296463,3.2642343182546654
86,158,39,4.454347296253507,3.6635616461296463,3.2456735963095014
87,226,38,4.465908118654584,3.6375861597263857,3.2273274539922436
88,070,38,4.477336814478207,3.6375861597263857,3.2091909864636605
89,480,35,4.48863636973214,3.5553480614894135,3.191259455157457
90,745,35,4.499809670330265,3.5553480614894135,3.1735282803486804
91,384,31,4.51085950651685,3.4339872044851463,3.155993034132754
92,632,31,4.5217885770490405,3.4339872044851463,3.138649433788176
93,165,31,4.532599493153256,3.4339872044851463,3.1214933354980223
94,824,31,4.543294782270004,3.4339872044851463,3.1045207284072154
95,501,31,4.553876891600541,3.4339872044851463,3.0877277289942384
96,095,30,4.564348191467836,3.4011973816621555,3.0711105757375465
97,035,30,4.574710978503383,3.4011973816621555,3.054665624058342
98,495,29,4.584967478670572,3.367295829986474,3.038389341522705
99,171,29,4.59511985013459,3.367295829986474,3.022278303287295
100,645,28,4.605170185988092,3.332204510175204,3.0063291877739022
101,175,27,4.61512051684126,3.295836866004329,2.990538772559235
102,463,26,4.624972813284271,3.258096538021482,2.974903930467166
