Sign1,Sign2,Sign3,Count,CondProb
740,176,240,6,0.04225352112676056
740,255,705,6,0.35294117647058826
740,752,482,6,0.11764705882352941
240,235,002,6,0.13333333333333333
740,760,440,6,0.04918032786885246
151,390,590,6,0.8571428571428571
740,220,415,6,0.11538461538461539
390,590,235,6,0.0821917808219178
400,740,840,6,0.024390243902439025
176,002,861,6,0.35294117647058826
001,740,923,6,0.2608695652173913
407,845,220,6,0.23076923076923078
900,740,690,6,1.0
061,845,240,6,0.2857142857142857
032,840,002,5,0.11904761904761904
000,002,861,5,0.10638297872340426
740,482,235,5,0.18518518518518517
520,233,803,5,0.21739130434782608
233,803,002,5,0.3333333333333333
031,002,817,5,0.22727272727272727
000,000,032,5,0.013333333333333334
033,706,233,5,0.1111111111111111
000,002,817,5,0.10638297872340426
590,220,003,5,0.5
000,000,033,5,0.013333333333333334
520,220,240,5,0.07462686567164178
000,000,740,5,0.013333333333333334
032,578,415,5,1.0
000,220,002,5,0.11627906976744186
868,705,590,5,1.0
100,140,003,5,0.7142857142857143
740,048,741,5,0.29411764705882354
