StemSign,StemRole,Post240Class,StemScore,TotalCount,OP240Count,BareCount,TextCount,TopForms,TopFrame,TopFrameShare,Frames,Sites,Symbols,SemanticFrames,ValidationScore,ValidationStatuses,Examples
639,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.062,2,2,0,1,240-639:1; 240-639-740:1,002|740,0.500,002|740:1; 002|<END>:1,Harappa:2,Bull1:W:2,PrimeEntitySealFormula:2,0.000,,H-598
643,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.062,2,2,0,1,240-643:1; 240-643-740:1,002|740,0.500,002|740:1; 002|<END>:1,Harappa:2,Bull1:W:2,PrimeEntitySealFormula:2,0.000,,H-51
845,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.062,2,2,0,1,240-845-032:1; 240-845-032-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:W:2,PrimeEntitySealFormula:2,0.000,,M-1766
013,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,013-840-176-100:1; 013-840-176-100-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:I:2,PrimeEntitySealFormula:2,0.000,,M-116
034,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,2,034:1; 034-390:1,002|<END>,1.000,002|<END>:2,Harappa:1; Mohenjo-daro:1,,InitialClassifierFormula:1; LowEvidenceSequence:1,0.000,,H-1739; M-315
042,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,042:1; 042-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:W:2,PrimeEntitySealFormula:2,0.000,,M-1721
055,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,055:1; 055-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,,PrimeEntitySealFormula:2,0.000,,M-1273
064,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,2,064-003-480:1; 064:1,002|<END>,1.000,002|<END>:2,Harappa:1; Mohenjo-daro:1,,InitialClassifierFormula:1; LowEvidenceSequence:1,0.000,,-
067,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,067-142:1; 067-142-740:1,002|740,0.500,002|740:1; 002|<END>:1,Nausharo:2,Comp:2,PrimeEntitySealFormula:2,0.000,,Ns-9
093,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,093-760:1; 093-760-740:1,002|740,0.500,002|740:1; 002|<END>:1,Kalibangan:2,Bull1:2,PrimeEntitySealFormula:2,0.000,,K-24
125,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,2,125:1; 125-090:1,002|<END>,1.000,002|<END>:2,Chanhu-daro:1; Mohenjo-daro:1,Gaur:1; Bull1:1,InitialClassifierFormula:2,0.000,,C-74; M-901
137,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,2,137:1; 137-033-700:1,002|<END>,1.000,002|<END>:2,Harappa:2,Mult:1; Gavi:1,InitialClassifierFormula:2,0.000,,H-702; H-706
