Frame,Left,Right,Filler,FillerLength,Count,TextCount,SiteCount,RegionCount,TypeCount,FirstSign,FinalSign,StemMinusFinal,RestAfterInitial,DominantSite,DominantSiteShare,DominantRegion,DominantRegionShare,DominantType,DominantTypeShare,DominantSymbol,DominantSymbolShare,SealPct,CompletePct,Examples
002|<END>,002,<END>,061-151,2,1,1,1,1,1,061,151,061,151,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:S,1.0,1.0,1.0,3197.1/M-783/Mohenjo-daro
002|<END>,002,<END>,061-407,2,1,1,1,1,1,061,407,061,407,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:R,1.0,,0.0,1.0,1.0,2904.1/M-408/Mohenjo-daro
002|<END>,002,<END>,061-717-390,3,1,1,1,1,1,061,390,061-717,717-390,Bala-kot,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1,1.0,1.0,1.0,20.1/Blk-2/Bala-kot
002|<END>,002,<END>,061-740-224,3,1,1,1,1,1,061,224,061-740,740-224,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,T-A-T,1.0,1.0,1.0,2828.1/M-309/Mohenjo-daro
002|<END>,002,<END>,062-142-740,3,1,1,1,1,1,062,740,062-142,142-740,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,,0.0,0.0,1.0,599.2/H-1864/Harappa
002|<END>,002,<END>,064,1,1,1,1,1,1,064,064,,,Mohenjo-daro,1.0,Lower Indus,1.0,BNGL,1.0,,0.0,0.0,1.0,2170.1/-/Mohenjo-daro
002|<END>,002,<END>,064-003-480,3,1,1,1,1,1,064,480,064-003,003-480,Harappa,1.0,Inter-Riverine,1.0,POT:T:g,1.0,,0.0,0.0,0.0,543.1/-/Harappa
002|<END>,002,<END>,067-142-740,3,1,1,1,1,1,067,740,067-142,142-740,Nausharo,1.0,Lower Indus,1.0,SEAL:S,1.0,Comp,1.0,1.0,1.0,3857.1/Ns-9/Nausharo
002|<END>,002,<END>,070-003,2,1,1,1,1,1,070,003,070,003,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,0.0,3099.1/M-658/Mohenjo-daro
002|<END>,002,<END>,070-003-900-032-405,5,1,1,1,1,1,070,405,070-003-900-032,003-900-032-405,Harappa,1.0,Inter-Riverine,1.0,SEAL:R,1.0,,0.0,1.0,1.0,1182.1/H-141/Harappa
002|<END>,002,<END>,070-520,2,1,1,1,1,1,070,520,070,520,Lothal,1.0,Gujarat/Kutch,1.0,TAG:L,1.0,,0.0,0.0,0.0,2080.1/L-138/Lothal
