AnchorTemplate,Count,SiteCount,TypeCount,Examples
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,26,6,8,86.1/C-89/Chanhu-daro; 225.1/-/Harappa; 545.1/H-1969/Harappa; 576.1/H-1685/Harappa; 740.1/-/Harappa; 752.2/H-2143/Harappa
SIGN CLOSING_FORMULA_MARKER,24,9,6,16.1/Alt-90/Altyn Depe; 17.1/Ai-7/Amri; 33.1/B-9/Banawali; 153.1/-/Farmana; 153.2/-/Farmana; 232.1/H-1355/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,21,3,4,98.1/C-10/Chanhu-daro; 1007.1/H-1726/Harappa; 2256.1/M-1753/Mohenjo-daro; 2272.1/M-1717/Mohenjo-daro; 2276.1/M-1726/Mohenjo-daro; 2464.1/M-595/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN,21,4,6,147.1/-/Failaka; 476.2/H-2094/Harappa; 488.2/H-2097/Harappa; 518.2/H-2095/Harappa; 621.1/-/Harappa; 665.2/H-2096/Harappa
CLOSING_FORMULA_MARKER,20,7,6,276.1/-/Karanpura; 611.1/-/Harappa; 766.1/-/Harappa; 767.1/-/Harappa; 1358.1/H-337/Harappa; 1359.1/H-338/Harappa
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,19,5,8,53.1/Ch-1/Chandigarh; 115.1/C-33/Chanhu-daro; 217.1/H-294/Harappa; 397.2/H-2141/Harappa; 418.2/H-2140/Harappa; 1002.1/H-2013/Harappa
LEADING_FORMULA_MARKER SIGN SIGN SIGN,19,4,6,431.1/H-1725/Harappa; 775.1/H-1666/Harappa; 848.2/H-2149/Harappa; 1562.1/H-647/Harappa; 1572.1/H-657/Harappa; 1821.1/H-941/Harappa
SIGN SIGN LEADING_FORMULA_MARKER,16,6,5,56.1/C-88/Chanhu-daro; 117.1/C-35/Chanhu-daro; 915.2/H-1968/Harappa; 1135.1/H-78/Harappa; 1435.1/H-445/Harappa; 1451.1/H-462/Harappa
INITIAL_TITLE_OR_CLASSIFIER CROSS_SITE_NAME_ANCHOR[3],16,6,3,61.1/C-66/Chanhu-daro; 401.1/H-2003/Harappa; 634.1/H-1680/Harappa; 951.1/-/Dholavira; 1412.1/H-407/Harappa; 1938.1/K-82/Kalibangan
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN,16,4,6,448.1/H-1967/Harappa; 463.1/H-1827/Harappa; 1414.1/H-410/Harappa; 1434.1/H-444/Harappa; 1549.1/H-609/Harappa; 1611.1/H-706/Harappa
NAME_LIKE_BLOCK[3],16,3,5,804.2/H-2064/Harappa; 1161.1/H-101/Harappa; 1489.1/H-512/Harappa; 1664.1/H-772/Harappa; 1780.2/H-898/Harappa; 1861.2/H-985/Harappa
SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,14,3,4,592.1/H-1999/Harappa; 745.1/H-1980/Harappa; 1034.1/H-1979/Harappa; 1201.1/H-160/Harappa; 1222.1/H-189/Harappa; 1239.1/H-208/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,14,3,2,1086.1/H-26/Harappa; 2229.1/M-1737/Mohenjo-daro; 2292.1/M-1706/Mohenjo-daro; 2643.1/M-116/Mohenjo-daro; 2683.1/M-157/Mohenjo-daro; 2745.1/M-221/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,13,4,5,8.1/Ad-3/Allahdino; 479.1/H-1669/Harappa; 596.2/H-2139/Harappa; 1216.1/H-183/Harappa; 1217.1/H-184/Harappa; 2616.1/M-89/Mohenjo-daro
SIGN NAME_LIKE_BLOCK[2],13,2,3,295.1/H-1187/Harappa; 438.2/H-1866/Harappa; 459.1/H-1991/Harappa; 472.2/H-2084/Harappa; 556.1/H-1939/Harappa; 1243.1/H-212/Harappa
TERMINAL_TITLE_OR_SUFFIX SIGN,12,5,7,141.1/-/Dholavira; 891.1/H-2195/Harappa; 1583.1/H-668/Harappa; 2970.3/M-487/Mohenjo-daro; 3162.1/M-738/Mohenjo-daro; 3377.1/-/Dholavira
SIGN SIGN SIGN NAME_LIKE_BLOCK[3],12,2,2,300.2/-/Harappa; 581.2/H-1990/Harappa; 653.2/H-1813/Harappa; 687.2/H-1989/Harappa; 689.2/H-1988/Harappa; 867.2/H-1812/Harappa
