AnchorTemplate,Count,SiteCount,TypeCount,Examples
CROSS_SITE_NAME_ANCHOR[3] LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,1,2516.1/M-1672/Mohenjo-daro; 2844.1/M-326/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],2,1,1,2526.1/M-1662/Mohenjo-daro; 2613.1/M-86/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN,2,1,2,2531.1/M-1/Mohenjo-daro; 3685.1/M-1391/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,2,1,1,2549.1/M-21/Mohenjo-daro; 2556.1/M-28/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN,2,1,1,2551.1/M-23/Mohenjo-daro; 2757.1/M-234/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,2,1,2559.1/M-31/Mohenjo-daro; 3890.1/-/Unknown
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,1,2574.1/M-46/Mohenjo-daro; 2584.1/M-56/Mohenjo-daro
NAME_LIKE_BLOCK[3] NAME_LIKE_BLOCK[2],2,1,1,2586.1/M-58/Mohenjo-daro; 3096.1/M-653/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN SIGN SIGN,2,1,1,2598.1/M-70/Mohenjo-daro; 3158.1/M-734/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN SIGN,2,1,1,2632.1/M-105/Mohenjo-daro; 3329.1/M-934/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,1,2763.1/M-240/Mohenjo-daro; 3909.1/M-1698/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,2,2769.1/M-246/Mohenjo-daro; 2880.1/M-384/Mohenjo-daro
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER,2,2,2,2772.1/M-249/Mohenjo-daro; 2919.1/H-2584/Harappa
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN CLOSING_FORMULA_MARKER,2,1,1,2975.1/M-494/Mohenjo-daro; 2976.1/M-495/Mohenjo-daro
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN LEADING_FORMULA_MARKER SIGN,2,1,1,3000.1/M-525/Mohenjo-daro; 3741.1/M-1475/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,1,3103.1/M-664/Mohenjo-daro; 3127.1/M-700/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[2],2,2,1,3118.1/-/Unknown; 3378.1/M-985/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2,1,2,3156.1/M-732/Mohenjo-daro; 3616.1/M-1311/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] LEADING_FORMULA_MARKER SIGN,2,1,2,3284.1/M-875/Mohenjo-daro; 3663.1/M-1364/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN NAME_LIKE_BLOCK[2],2,1,1,3353.1/M-958/Mohenjo-daro; 3372.1/M-979/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,1,1,1,50.1/-/Bhirrana
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,64.1/C-54/Chanhu-daro
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,1,1,1,70.1/C-70/Chanhu-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,72.1/C-76/Chanhu-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,1,1,1,73.1/C-68/Chanhu-daro
LEADING_FORMULA_MARKER SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,78.1/C-71/Chanhu-daro
SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER,1,1,1,89.1/C-1/Chanhu-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,94.1/C-6/Chanhu-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,99.1/C-11/Chanhu-daro
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN CLOSING_FORMULA_MARKER SIGN,1,1,1,100.1/C-12/Chanhu-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,103.1/C-15/Chanhu-daro
CROSS_SITE_NAME_ANCHOR[3] LEADING_FORMULA_MARKER SIGN,1,1,1,104.1/C-16/Chanhu-daro
SIGN CLOSING_FORMULA_MARKER SIGN SIGN CLOSING_FORMULA_MARKER SIGN,1,1,1,109.1/C-22/Chanhu-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,110.1/C-23/Chanhu-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,1,1,1,111.1/C-24/Chanhu-daro
SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,1,1,1,112.1/C-29/Chanhu-daro
SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,114.1/C-32/Chanhu-daro
SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN,1,1,1,116.1/C-34/Chanhu-daro
SIGN SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,121.2/C-40/Chanhu-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,123.1/Dlp-1/Desalpur
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN,1,1,1,125.1/Dlp-3/Desalpur
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,130.1/-/Dholavira
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,144.1/-/Dholavira
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,1,1,1,231.1/H-1393/Harappa
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,237.1/H-1056/Harappa
TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,244.1/-/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,259.1/H-1051/Harappa
SIGN LEADING_FORMULA_MARKER NAME_LIKE_BLOCK[2],1,1,1,264.1/H-1287/Harappa
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,338.1/-/Harappa
SIGN SIGN LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,1,1,1,374.2/H-1893/Harappa
CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,376.2/H-1800/Harappa
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,415.2/H-1832/Harappa
CLOSING_FORMULA_MARKER SIGN SIGN CLOSING_FORMULA_MARKER,1,1,1,519.2/H-2186/Harappa
INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,543.1/-/Harappa
SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,554.2/H-1906/Harappa
SIGN CLOSING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,578.2/H-2197/Harappa
SIGN INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER SIGN,1,1,1,656.1/H-2568/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,771.2/H-1930/Harappa
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,885.1/H-1711/Harappa
TERMINAL_TITLE_OR_SUFFIX INITIAL_TITLE_OR_CLASSIFIER,1,1,1,903.2/H-2093/Harappa
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN,1,1,1,932.1/H-1710/Harappa
SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1020.1/H-1657/Harappa
SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,1064.1/H-3/Harappa
SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER,1,1,1,1066.1/H-5/Harappa
SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,1069.1/H-8/Harappa
NAME_LIKE_BLOCK[3] SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1073.1/H-12/Harappa
SIGN SIGN SIGN SIGN NAME_LIKE_BLOCK[2],1,1,1,1075.1/H-14/Harappa
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1080.1/H-20/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,1081.1/H-21/Harappa
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,1082.1/H-22/Harappa
LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,1098.1/H-39/Harappa
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN LEADING_FORMULA_MARKER CROSS_SITE_NAME_ANCHOR[3],1,1,1,1103.1/H-44/Harappa
SIGN INITIAL_TITLE_OR_CLASSIFIER CROSS_SITE_NAME_ANCHOR[3],1,1,1,1114.1/H-55/Harappa
LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,1117.1/H-58/Harappa
SIGN CLOSING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,1127.1/H-68/Harappa
SIGN SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,1137.1/H-80/Harappa
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,1,1,1,1153.1/H-98/Harappa
LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX CROSS_SITE_NAME_ANCHOR[3] SIGN SIGN,1,1,1,1169.1/H-103/Harappa
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,1170.1/H-129/Harappa
SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN,1,1,1,1171.1/H-130/Harappa
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1172.1/H-131/Harappa
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,1173.1/H-132/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1175.1/H-134/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN NAME_LIKE_BLOCK[2],1,1,1,1176.1/H-135/Harappa
LEADING_FORMULA_MARKER SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN,1,1,1,1182.1/H-141/Harappa
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,1187.1/H-146/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN,1,1,1,1190.1/H-149/Harappa
NAME_LIKE_BLOCK[2] SIGN,1,1,1,1198.1/H-157/Harappa
CROSS_SITE_NAME_ANCHOR[3] SIGN SIGN SIGN SIGN,1,1,1,1209.1/H-175/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,1211.1/H-177/Harappa
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN CLOSING_FORMULA_MARKER,1,1,1,1264.1/H-239/Harappa
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,1293.1/H-268/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,1316.1/-/Dholavira
LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER,1,1,1,1327.1/H-305/Harappa
SIGN CLOSING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN,1,1,1,1388.1/H-369/Harappa
SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1400.1/H-386/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,1401.1/H-388/Harappa
SIGN SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1402.1/H-389/Harappa
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,1404.1/H-391/Harappa
SIGN SIGN SIGN NAME_LIKE_BLOCK[2],1,1,1,1423.1/H-421/Harappa
SIGN CLOSING_FORMULA_MARKER SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,1439.1/H-449/Harappa
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,1446.1/H-456/Harappa
LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,1474.1/H-486/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN,1,1,1,1484.1/H-506/Harappa
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN,1,1,1,1554.1/H-639/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,1564.1/H-649/Harappa
LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,1569.1/H-654/Harappa
SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,1574.1/H-659/Harappa
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER,1,1,1,1582.1/H-667/Harappa
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1594.1/H-688/Harappa
CROSS_SITE_NAME_ANCHOR[2] SIGN SIGN,1,1,1,1619.1/H-715/Harappa
TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1624.1/H-722/Harappa
CROSS_SITE_NAME_ANCHOR[3] LEADING_FORMULA_MARKER,1,1,1,1634.1/H-735/Harappa
SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,1655.1/H-763/Harappa
LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,1660.1/H-768/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN CLOSING_FORMULA_MARKER,1,1,1,1669.2/H-778/Harappa
CLOSING_FORMULA_MARKER SIGN SIGN,1,1,1,1717.2/H-829/Harappa
INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,1728.1/H-842/Harappa
SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,1732.1/H-846/Harappa
SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,1834.1/H-954/Harappa
CROSS_SITE_NAME_ANCHOR[3] SIGN LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,1879.1/K-4/Kalibangan
SIGN INITIAL_TITLE_OR_CLASSIFIER INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,1881.1/K-6/Kalibangan
SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,1885.1/K-10/Kalibangan
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER,1,1,1,1889.1/K-14/Kalibangan
SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,1890.1/K-15/Kalibangan
CROSS_SITE_NAME_ANCHOR[2] SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,1891.1/K-16/Kalibangan
SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,1908.1/K-40/Kalibangan
INITIAL_TITLE_OR_CLASSIFIER SIGN CLOSING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX,1,1,1,1935.1/K-78/Kalibangan
CLOSING_FORMULA_MARKER SIGN SIGN SIGN SIGN,1,1,1,1944.3/K-89/Kalibangan
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,1971.1/-/Kish
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER,1,1,1,1972.1/Kd-7/Kot-Diji
CLOSING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,1985.1/L-2/Lothal
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,1986.1/L-4/Lothal
LEADING_FORMULA_MARKER CROSS_SITE_NAME_ANCHOR[2],1,1,1,2004.1/L-27/Lothal
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,1,1,1,2006.1/L-29/Lothal
CLOSING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2015.1/L-43/Lothal
CLOSING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN,1,1,1,2019.1/L-48/Lothal
LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2027.1/L-60/Lothal
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2063.1/L-114/Lothal
CROSS_SITE_NAME_ANCHOR[2] SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2067.1/L-122/Lothal
SIGN CROSS_SITE_NAME_ANCHOR[2],1,1,1,2080.1/L-138/Lothal
SIGN LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER,1,1,1,2084.1/L-142/Lothal
LEADING_FORMULA_MARKER SIGN SIGN CLOSING_FORMULA_MARKER,1,1,1,2157.1/M-2064/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,2161.1/M-2061/Mohenjo-daro
TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2182.1/M-1792/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2200.1/M-2003/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX INITIAL_TITLE_OR_CLASSIFIER,1,1,1,2212.1/M-165/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2214.1/M-682/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,2230.1/M-1743/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN,1,1,1,2231.1/M-1688/Mohenjo-daro
SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2236.1/M-1677/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,2255.1/M-1765/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN NAME_LIKE_BLOCK[2],1,1,1,2270.1/M-1668/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN NAME_LIKE_BLOCK[3],1,1,1,2277.1/M-1990/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,1,1,1,2278.1/M-1974/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,2297.1/M-1772/Mohenjo-daro
LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2310.1/M-1810/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN CLOSING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2316.1/M-1821/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,2332.1/M-1741/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,1,1,1,2335.1/M-1671/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,1,1,1,2338.1/M-1955/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN CROSS_SITE_NAME_ANCHOR[2],1,1,1,2342.1/M-1661/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2344.1/M-1902/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,2346.1/M-1714/Mohenjo-daro
CLOSING_FORMULA_MARKER SIGN CLOSING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2354.1/M-1770/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,2378.1/M-1701/Mohenjo-daro
