Unit,TextId,CISI,Site,Type,Symbol,SemanticFrame,ClauseType,Frame,SkeletonReading,TokenSkeleton,StructuralParse,ConstraintTier
240-176,1413.1,H-408,Harappa,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,503 702 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-176] 740,PRODUCTIVE_SLOT(<START>_240)[503-702-002] | PRIME_ENTITY_SLOT(002_740)[240-176] | 740:TERMINAL_TITLE_OR_SUFFIX,B
240-176,2809.1,M-289,Mohenjo-daro,SEAL,Tigr,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,817 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-176] 740,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-176] | 740:TERMINAL_TITLE_OR_SUFFIX,B
240-482,3970.1,H-1130,Harappa,TAB,Unknown,PrimeEntityAdministrativeFormula,administrative/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-482] 740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX,A
240-482,3971.1,H-1131,Harappa,TAB,Unknown,PrimeEntityAdministrativeFormula,administrative/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-482] 740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX,A
240-482,729.2,H-2010,Harappa,TAB,Bull,PrimeEntityAdministrativeFormula,administrative/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-482] 740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX,A
240-482,937.2,H-2011,Harappa,TAB,Bull,PrimeEntityAdministrativeFormula,administrative/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-482] 740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX,A
240-482,1695.1,H-806,Harappa,TAB,Unknown,PrimeEntityAdministrativeFormula,administrative/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-482] 740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX,A
240-482,1696.1,H-807,Harappa,TAB,Unknown,PrimeEntityAdministrativeFormula,administrative/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-482] 740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX,A
240-482,1697.1,H-808,Harappa,TAB,Unknown,PrimeEntityAdministrativeFormula,administrative/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-482] 740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX,A
240-482,2801.1,M-280,Mohenjo-daro,SEAL,Elephant,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,140 920 944 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:240-482] 740,PRODUCTIVE_SLOT(<START>_240)[140-920-944-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX,A
240-740-090,904.1,H-2019,Harappa,TAB,Gavial,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,902.1,H-2020,Harappa,TAB,Gavial,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
