Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,BestContextDimension,BestContextCategory,BestContextStrength,BestContextScore,TopSymbol,TopSite,TopRegion,SemanticOptions,NextEmpiricalTest,ExampleTexts
861-002,C02-A01,InitialFiller,CrossFramePhoneticAnchor,0.755,18,Site,Harappa,Moderate,0.592,Bull:11; Unknown:5; Zebu:1; Elephant:1,Mohenjo-daro:9; Harappa:8; Lothal:1,Lower Indus:9; Inter-Riverine:8; Gujarat/Kutch:1,classifier; title; office marker; prefix; regional formula marker,compare all 861-002 occurrences inside and outside Harappa; test regional/administrative value,M-7@Mohenjo-daro/Bull; M-199@Mohenjo-daro/Bull; H-51@Harappa/Bull; M-1753@Mohenjo-daro/Bull; M-1726@Mohenjo-daro/Bull
705-033-520,A13-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,0.703,3,Material,Steatite,Moderate,0.566,Unknown:1; Bull:1; Composite Bull:1,Mohenjo-daro:2; Harappa:1,Lower Indus:2; Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,compare artifact function for 705-033-520 in Steatite; test administrative/object-class value,H-649@Harappa/Unknown; M-670@Mohenjo-daro/Bull; M-303@Mohenjo-daro/Composite Bull
176-740,R02-T01,TerminalFiller,CrossFramePhoneticAnchor,0.807,8,Symbol,Other,Moderate,0.524,Unknown:4; Bull:2; Other:2,Mohenjo-daro:5; Kalibangan:1; Harappa:1; Dholavira:1,Lower Indus:5; Inter-Riverine:2; Gujarat/Kutch:1,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 176-740 occurrences with Other; test emblem-linked reading,M-320@Mohenjo-daro/Bull; K-62@Kalibangan/Unknown; H-155@Harappa/Unknown; M-503@Mohenjo-daro/Unknown; M-1449@Mohenjo-daro/Other
003,M05,InitialFiller,CrossFramePhoneticAnchor,0.771,8,Region,Inter-Riverine,Moderate,0.523,Bull:3; Unknown:2; Comp:1; Scene:1,Mohenjo-daro:4; Harappa:3; Kalibangan:1,Lower Indus:4; Inter-Riverine:4,classifier; title; office marker; prefix; regional formula marker,compare all 003 occurrences inside and outside Inter-Riverine; test regional/administrative value,M-550@Mohenjo-daro/Comp; M-1197@Mohenjo-daro/Unknown; H-596@Harappa/Unknown; K-65@Kalibangan/Scene; M-1857@Mohenjo-daro/Bull
820-002,C01-A01,InitialFiller,CrossFramePhoneticAnchor,0.806,8,Site,Dholavira,Moderate,0.52,Bull:4; Unknown:2; Gavial:1; Rhinoceros:1,Mohenjo-daro:2; Harappa:2; Dholavira:2; Lothal:1,Gujarat/Kutch:3; Inter-Riverine:3; Lower Indus:2,classifier; title; office marker; prefix; regional formula marker,compare all 820-002 occurrences inside and outside Dholavira; test regional/administrative value,L-83@Lothal/Unknown; K-78@Kalibangan/Gavial; M-651@Mohenjo-daro/Bull; H-231@Harappa/Unknown; H-273@Harappa/Bull
590-390-740,A08-M02-T01,TerminalFiller,CrossFramePhoneticAnchor,0.681,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:1; Harappa:1,Lower Indus:1; Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 590-390-740 occurrences with Bull; test emblem-linked reading,M-900@Mohenjo-daro/Bull; H-510@Harappa/Bull
705,A13,InitialFiller,CrossFramePhoneticAnchor,0.598,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:1; Dholavira:1,Lower Indus:1; Gujarat/Kutch:1,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 705 occurrences with Bull; test emblem-linked reading,M-1825@Mohenjo-daro/Bull; -@Dholavira/Bull
861,C02,InitialFiller,CrossFramePhoneticAnchor,0.566,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:1; Harappa:1,Lower Indus:1; Inter-Riverine:1,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 861 occurrences with Bull; test emblem-linked reading,M-170@Mohenjo-daro/Bull; H-102@Harappa/Bull
740,T01,TerminalFiller,CrossFramePhoneticAnchor,0.878,10,Symbol,Gavial,Moderate,0.51,Unknown:5; Gavial:2; Bull:2; Buff:1,Mohenjo-daro:5; Kalibangan:2; Surkotada:1; Lothal:1,Lower Indus:5; Gujarat/Kutch:3; Inter-Riverine:2,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 740 occurrences with Gavial; test emblem-linked reading,M-1346@Mohenjo-daro/Unknown; Sktd-2@Surkotada/Unknown; K-78@Kalibangan/Gavial; M-1960@Mohenjo-daro/Unknown; L-60@Lothal/Unknown
031,M03,InitialFiller,CrossFramePhoneticAnchor,0.856,11,SemanticFrame,LowEvidenceSequence,Moderate,0.492,Unknown:5; Bull:4; MISC:1; Ass:1,Mohenjo-daro:4; Harappa:3; Rahman-deri:1; Kanmer:1,Lower Indus:5; Inter-Riverine:3; Gujarat/Kutch:2,classifier; title; office marker; prefix; regional formula marker,collect more context for 031; keep phonetic value unassigned,H-440@Harappa/Bull; Rhd-1@Rahman-deri/MISC; -@Kanmer/Ass; M-1982@Mohenjo-daro/Unknown; M-951@Mohenjo-daro/Bull
235,M01,InitialFiller,CrossFramePhoneticAnchor,0.931,28,Symbol,S590,Moderate,0.474,Unknown:9; Bull:4; Gaur:3; Composite/Multiple:2,Mohenjo-daro:16; Harappa:8; Dholavira:2; Chanhu-daro:1,Lower Indus:17; Inter-Riverine:8; Gujarat/Kutch:3,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 235 occurrences with S590; test emblem-linked reading,H-148@Harappa/Unknown; -@Dholavira/Bull; M-1917@Mohenjo-daro/Tigr; M-653@Mohenjo-daro/Bull; C-70@Chanhu-daro/Bull
233,A04,InitialFiller,CrossFramePhoneticAnchor,0.848,10,Symbol,Gaur,Moderate,0.466,Bull:5; Gaur:2; Pipal:1; Unknown:1,Harappa:5; Mohenjo-daro:3; Lothal:1; Dholavira:1,Inter-Riverine:5; Lower Indus:3; Gujarat/Kutch:2,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 233 occurrences with Gaur; test emblem-linked reading,L-41@Lothal/Bull; M-1827@Mohenjo-daro/Bull; M-1836@Mohenjo-daro/Bull; -@Dholavira/Bull; H-243@Harappa/Pipal
520,T02,TerminalFiller,CrossFramePhoneticAnchor,0.886,21,Symbol,Composite/Multiple,Moderate,0.463,Unknown:7; Bull:7; Composite/Multiple:2; MISC:1,Mohenjo-daro:6; Harappa:6; Dholavira:4; Banawali:2,Inter-Riverine:7; Lower Indus:6; Gujarat/Kutch:5,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 520 occurrences with Composite/Multiple; test emblem-linked reading,M-686@Mohenjo-daro/Unknown; -@Dholavira/Bull; Rhd-1@Rahman-deri/MISC; -@Kanmer/Ass; M-1827@Mohenjo-daro/Bull
803,A12,InitialFiller,CrossFramePhoneticAnchor,0.79,6,Region,Inter-Riverine,Moderate,0.447,Unknown:3; Gaur:1; Bull:1; Zebu:1,Mohenjo-daro:3; Harappa:2; Kalibangan:1,Inter-Riverine:3; Lower Indus:3,classifier; title; office marker; prefix; regional formula marker,compare all 803 occurrences inside and outside Inter-Riverine; test regional/administrative value,K-62@Kalibangan/Unknown; M-1079@Mohenjo-daro/Gaur; M-705@Mohenjo-daro/Bull; H-240@Harappa/Unknown; M-1119@Mohenjo-daro/Zebu
798,A14,InitialFiller,CrossFramePhoneticAnchor,0.745,4,Site,Harappa,Moderate,0.383,Bull:2; Unknown:2,Mohenjo-daro:2; Harappa:2,Lower Indus:2; Inter-Riverine:2,classifier; title; office marker; prefix; regional formula marker,compare all 798 occurrences inside and outside Harappa; test regional/administrative value,M-1681@Mohenjo-daro/Bull; H-248@Harappa/Unknown; H-1922@Harappa/Unknown; M-121@Mohenjo-daro/Bull
390,M02,InitialFiller,CrossFramePhoneticAnchor,0.656,2,None,Unknown,Unresolved,0.0,Goat:2:1; Unknown:1,Lothal:1; Harappa:1,Gujarat/Kutch:1; Inter-Riverine:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 390; keep phonetic value unassigned,L-48@Lothal/Goat:2; H-239@Harappa/Unknown
176-740-090,R02-T01-A10,TerminalFiller,AffixOrFormulaAnchor,0.615,8,Symbol,Composite/Multiple,Strong,1.0,Composite/Multiple:8,Harappa:8,Inter-Riverine:8,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 176-740-090 occurrences with Composite/Multiple; test emblem-linked reading,H-2024@Harappa/Composite/Multiple; H-1935@Harappa/Composite/Multiple; H-1934@Harappa/Composite/Multiple; H-2026@Harappa/Composite/Multiple; H-2028@Harappa/Composite/Multiple
031-740,M03-T01,TerminalFiller,AffixOrFormulaAnchor,0.551,3,Symbol,Goat:4,Strong,0.824,Goat:4:3,Harappa:3,Inter-Riverine:3,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 031-740 occurrences with Goat:4; test emblem-linked reading,H-1771@Harappa/Goat:4; H-1773@Harappa/Goat:4; H-1772@Harappa/Goat:4
048-740,R43-T01,TerminalFiller,AffixOrFormulaAnchor,0.599,5,Site,Harappa,Strong,0.713,Unknown:4; Bull:1,Harappa:4; Mohenjo-daro:1,Inter-Riverine:4; Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,compare all 048-740 occurrences inside and outside Harappa; test regional/administrative value,M-159@Mohenjo-daro/Bull; H-890@Harappa/Unknown; -@Harappa/Unknown; H-1810@Harappa/Unknown; H-205@Harappa/Unknown
817-002,C03-A01,InitialFiller,AffixOrFormulaAnchor,0.785,16,Symbol,Bull2,Strong,0.594,Bull:6; Unknown:3; Bull2:3; Gaur:2,Mohenjo-daro:8; Harappa:5; Lothal:1; Jhukar:1,Lower Indus:10; Inter-Riverine:5; Gujarat/Kutch:1,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 817-002 occurrences with Bull2; test emblem-linked reading,L-41@Lothal/Bull; M-246@Mohenjo-daro/Gaur; M-1226@Mohenjo-daro/Gaur; M-1746@Mohenjo-daro/Bull; M-144@Mohenjo-daro/Bull
820,C01,InitialFiller,AffixOrFormulaAnchor,0.605,10,Material,Steatite,Moderate,0.747,Bull:6; Unknown:4,Mohenjo-daro:7; Harappa:3,Lower Indus:7; Inter-Riverine:3,classifier; title; office marker; prefix; regional formula marker,compare artifact function for 820 in Steatite; test administrative/object-class value,M-865@Mohenjo-daro/Bull; H-26@Harappa/Bull; H-411@Harappa/Bull; M-157@Mohenjo-daro/Bull; M-372@Mohenjo-daro/Unknown
384-740,R27-T01,TerminalFiller,AffixOrFormulaAnchor,0.619,4,Site,Mohenjo-daro,Moderate,0.685,Unknown:2; Other:1; Bull:1,Mohenjo-daro:4,Lower Indus:4,title/suffix; terminal formula; object marker; administrative ending,compare all 384-740 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-504@Mohenjo-daro/Other; M-597@Mohenjo-daro/Unknown; M-1550@Mohenjo-daro/Unknown; M-1771@Mohenjo-daro/Bull
032-877-740,A07-R81-T01,InitialFiller,AffixOrFormulaAnchor,0.404,2,Site,Harappa,Moderate,0.646,Bull:1; Unknown:1,Harappa:2,Inter-Riverine:2,classifier; title; office marker; prefix; regional formula marker,compare all 032-877-740 occurrences inside and outside Harappa; test regional/administrative value,H-27@Harappa/Bull; H-143@Harappa/Unknown
240-630-740,A02-R75-T01,TerminalFiller,AffixOrFormulaAnchor,0.372,2,Site,Harappa,Moderate,0.646,Bull:1; Unknown:1,Harappa:2,Inter-Riverine:2,title/suffix; terminal formula; object marker; administrative ending,compare all 240-630-740 occurrences inside and outside Harappa; test regional/administrative value,H-102@Harappa/Bull; H-2192@Harappa/Unknown
741,A03,InitialFiller,AffixOrFormulaAnchor,0.563,2,Site,Harappa,Moderate,0.646,Unknown:1; Bull:1,Harappa:2,Inter-Riverine:2,classifier; title; office marker; prefix; regional formula marker,compare all 741 occurrences inside and outside Harappa; test regional/administrative value,H-369@Harappa/Unknown; H-102@Harappa/Bull
240-255-435-690-740,A02-R07-R14-R08-T01,TerminalFiller,AffixOrFormulaAnchor,0.39,3,Site,Mohenjo-daro,Moderate,0.608,Bull:2; Unknown:1,Mohenjo-daro:3,Lower Indus:3,title/suffix; terminal formula; object marker; administrative ending,compare all 240-255-435-690-740 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-377@Mohenjo-daro/Unknown; M-671@Mohenjo-daro/Bull; M-1691@Mohenjo-daro/Bull
923-740,R26-T01,TerminalFiller,AffixOrFormulaAnchor,0.639,3,Site,Mohenjo-daro,Moderate,0.608,Unknown:2; Bull:1,Mohenjo-daro:3,Lower Indus:3,title/suffix; terminal formula; object marker; administrative ending,compare all 923-740 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-968@Mohenjo-daro/Bull; M-1314@Mohenjo-daro/Unknown; M-407@Mohenjo-daro/Unknown
032-590,A07-A08,InitialFiller,AffixOrFormulaAnchor,0.643,3,Symbol,Bull,Moderate,0.594,Bull:3,Mohenjo-daro:1; Unknown:1; Harappa:1,Lower Indus:1; Other:1; Inter-Riverine:1,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 032-590 occurrences with Bull; test emblem-linked reading,M-746@Mohenjo-daro/Bull; -@Unknown/Bull; H-515@Harappa/Bull
806-235,M06-M01,InitialFiller,AffixOrFormulaAnchor,0.609,6,Symbol,Comp,Moderate,0.549,Unknown:3; Comp:2; Bull:1,Mohenjo-daro:6,Lower Indus:6,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 806-235 occurrences with Comp; test emblem-linked reading,M-686@Mohenjo-daro/Unknown; M-30@Mohenjo-daro/Bull; M-405@Mohenjo-daro/Unknown; -@Mohenjo-daro/Comp; M-1523@Mohenjo-daro/Comp
806,M06,InitialFiller,AffixOrFormulaAnchor,0.607,6,Symbol,Other,Moderate,0.548,Unknown:4; Other:2,Mohenjo-daro:6,Lower Indus:6,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 806 occurrences with Other; test emblem-linked reading,M-503@Mohenjo-daro/Unknown; M-1449@Mohenjo-daro/Other; M-504@Mohenjo-daro/Other; M-597@Mohenjo-daro/Unknown; M-1550@Mohenjo-daro/Unknown
003-156,M05-T06,TerminalFiller,AffixOrFormulaAnchor,0.368,2,Site,Mohenjo-daro,Moderate,0.531,Buff:1; Bull:1,Mohenjo-daro:2,Lower Indus:2,title/suffix; terminal formula; object marker; administrative ending,compare all 003-156 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-1928@Mohenjo-daro/Buff; M-80@Mohenjo-daro/Bull
240-706-033-520,A02-R09-A11-T02,TerminalFiller,AffixOrFormulaAnchor,0.374,2,Site,Mohenjo-daro,Moderate,0.531,Unknown:1; Gaur:1,Mohenjo-daro:2,Lower Indus:2,title/suffix; terminal formula; object marker; administrative ending,compare all 240-706-033-520 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-1269@Mohenjo-daro/Unknown; M-236@Mohenjo-daro/Gaur
255-435-690,R07-R14-R08,PreTerminalFiller,AffixOrFormulaAnchor,0.365,2,Site,Mohenjo-daro,Moderate,0.531,Bull:1; Unknown:1,Mohenjo-daro:2,Lower Indus:2,classifier; title; office marker; prefix; regional formula marker,compare all 255-435-690 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-626@Mohenjo-daro/Bull; M-682@Mohenjo-daro/Unknown
416,R34,TerminalFiller,AffixOrFormulaAnchor,0.595,2,Site,Mohenjo-daro,Moderate,0.531,Bull:1; Unknown:1,Mohenjo-daro:2,Lower Indus:2,title/suffix; terminal formula; object marker; administrative ending,compare all 416 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-1763@Mohenjo-daro/Bull; M-1267@Mohenjo-daro/Unknown
482,R16,PreTerminalFiller,AffixOrFormulaAnchor,0.53,2,Site,Mohenjo-daro,Moderate,0.531,Bull:1; Gaur:1,Mohenjo-daro:2,Lower Indus:2,classifier; title; office marker; prefix; regional formula marker,compare all 482 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-23@Mohenjo-daro/Bull; M-234@Mohenjo-daro/Gaur
803-233,A12-A04,InitialFiller,AffixOrFormulaAnchor,0.373,2,Site,Mohenjo-daro,Moderate,0.531,Bull:1; Gaur:1,Mohenjo-daro:2,Lower Indus:2,classifier; title; office marker; prefix; regional formula marker,compare all 803-233 occurrences inside and outside Mohenjo-daro; test regional/administrative value,M-1781@Mohenjo-daro/Bull; M-236@Mohenjo-daro/Gaur
072,R83,InitialFiller,AffixOrFormulaAnchor,0.435,2,Symbol,Bull,Moderate,0.518,Bull:2,Harappa:1; Mohenjo-daro:1,Inter-Riverine:1; Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 072 occurrences with Bull; test emblem-linked reading,H-68@Harappa/Bull; M-661@Mohenjo-daro/Bull
201-060,R110-A06,InitialFiller,AffixOrFormulaAnchor,0.37,2,Symbol,Bull,Moderate,0.518,Bull:2,Harappa:2,Inter-Riverine:2,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 201-060 occurrences with Bull; test emblem-linked reading,H-17@Harappa/Bull; H-61@Harappa/Bull
361,R127,InitialFiller,AffixOrFormulaAnchor,0.53,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:2,Lower Indus:2,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 361 occurrences with Bull; test emblem-linked reading,M-648@Mohenjo-daro/Bull; M-139@Mohenjo-daro/Bull
