Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,TextCount,TopRegion,TopSite,TopSymbol,TopType,TopMaterial,Frames,SemanticFrames,ExampleTexts
233-520,A04-T02,TerminalFiller,AffixOrFormulaAnchor,0.478,3,3,Lower Indus:2; Inter-Riverine:1,Mohenjo-daro:2; Harappa:1,Bull:2; Unknown:1,SEAL:3,Steatite:2; Unknown:1,002|<END>:1; 741|<END>:1; 060|<END>:1,TerminalFormula:2; ClassifierSlotTerminalFormula:1,H-688@Harappa/Unknown; M-85@Mohenjo-daro/Bull; M-183@Mohenjo-daro/Bull
575,R22,InitialFiller,AffixOrFormulaAnchor,0.478,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|741:1,LowEvidenceSequence:1,M-1233@Mohenjo-daro/Unknown
240-415-100-740-090,A02-R13-A15-T01-A10,TerminalFiller,AffixOrFormulaAnchor,0.451,1,1,Gujarat/Kutch:1,Gola Dhoro (Bagasra):1,Bull:1,SEAL:1,Unknown:1,820|<END>:1,ClassifierSlotTerminalFormula:1,-@Gola Dhoro (Bagasra)/Bull
240-220-520,A02-A09-T02,TerminalFiller,AffixOrFormulaAnchor,0.45,3,3,Lower Indus:2; Inter-Riverine:1,Mohenjo-daro:2; Harappa:1,Bull:2; Unknown:1,SEAL:2; TAB:1,Unknown:1; Faience:1; Steatite:1,235|<END>:1; 002|<END>:1; 741|<END>:1,TerminalFormula:2; ClassifierSlotTerminalFormula:1,M-962@Mohenjo-daro/Bull; H-231@Harappa/Unknown; M-888@Mohenjo-daro/Bull
231-798-740,R21-A14-T01,TerminalFiller,AffixOrFormulaAnchor,0.449,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,ClassifierSlotTerminalFormula:1,M-1804@Mohenjo-daro/Bull
240-100-740,A02-A15-T01,TerminalFiller,AffixOrFormulaAnchor,0.438,2,2,Lower Indus:1; Inter-Riverine:1,Mohenjo-daro:1; Harappa:1,Unknown:1; Bull:1,SEAL:2,Steatite:2,031|<END>:1; 741|<END>:1,TerminalFormula:2,M-1982@Mohenjo-daro/Unknown; H-450@Harappa/Bull
072,R83,InitialFiller,AffixOrFormulaAnchor,0.435,2,2,Inter-Riverine:1; Lower Indus:1,Harappa:1; Mohenjo-daro:1,Bull:2,SEAL:2,Steatite:2,<START>|390:1; <START>|741:1,PrimeEntitySealFormula:1; TerminalFormula:1,H-68@Harappa/Bull; M-661@Mohenjo-daro/Bull
033,A11,TerminalFiller,AffixOrFormulaAnchor,0.409,1,1,Persian Gulf:1,Karzakan:1,Gaur:1,SEAL:1,Unknown:1,001|<END>:1,LowEvidenceSequence:1,-@Karzakan/Gaur
831,R78,InitialFiller,AffixOrFormulaAnchor,0.409,1,1,Lower Indus:1,Mohenjo-daro:1,Other:1,TAB:1,Copper:1,<START>|233:1,TerminalFormula:1,M-1448@Mohenjo-daro/Other
740-679,T01-R35,TerminalFiller,AffixOrFormulaAnchor,0.408,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:2,SEAL:2,Steatite:2,235|<END>:1; 233|<END>:1,PrimeEntitySealFormula:1; TerminalFormula:1,M-653@Mohenjo-daro/Bull; M-1720@Mohenjo-daro/Bull
032-877-740,A07-R81-T01,InitialFiller,AffixOrFormulaAnchor,0.404,2,2,Inter-Riverine:2,Harappa:2,Bull:1; Unknown:1,SEAL:2,Steatite:1; Terracotta:1,<START>|001:2,TerminalFormula:2,H-27@Harappa/Bull; H-143@Harappa/Unknown
240-255-435-690-740,A02-R07-R14-R08-T01,TerminalFiller,AffixOrFormulaAnchor,0.39,3,3,Lower Indus:3,Mohenjo-daro:3,Bull:2; Unknown:1,SEAL:3,Steatite:2; Unknown:1,235|<END>:2; 741|<END>:1,TerminalFormula:3,M-377@Mohenjo-daro/Unknown; M-671@Mohenjo-daro/Bull; M-1691@Mohenjo-daro/Bull
806-798,M06-A14,InitialFiller,AffixOrFormulaAnchor,0.383,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,M-370@Mohenjo-daro/Unknown
415-220-520,R13-A09-T02,TerminalFiller,AffixOrFormulaAnchor,0.381,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,ClassifierSlotTerminalFormula:1,M-163@Mohenjo-daro/Bull
554-527,R240-T04,TerminalFiller,AffixOrFormulaAnchor,0.38,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-1087@Mohenjo-daro/Gaur
032-904-740,A07-R19-T01,TerminalFiller,AffixOrFormulaAnchor,0.379,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAG:1,Clay:1,233|<END>:1,TerminalFormula:1,H-240@Harappa/Unknown
240-706-033-520,A02-R09-A11-T02,TerminalFiller,AffixOrFormulaAnchor,0.374,2,2,Lower Indus:2,Mohenjo-daro:2,Unknown:1; Gaur:1,SEAL:2,Unknown:1; Steatite:1,235|<END>:1; 233|<END>:1,TerminalFormula:2,M-1269@Mohenjo-daro/Unknown; M-236@Mohenjo-daro/Gaur
803-235-520,A12-M01-T02,TerminalFiller,AffixOrFormulaAnchor,0.374,2,2,Lower Indus:2,Mohenjo-daro:1; Chanhu-daro:1,Bull:2,SEAL:2,Steatite:2,001|<END>:1; 002|<END>:1,ClassifierSlotTerminalFormula:2,M-806@Mohenjo-daro/Bull; C-4@Chanhu-daro/Bull
803-233,A12-A04,InitialFiller,AffixOrFormulaAnchor,0.373,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:1; Gaur:1,SEAL:2,Steatite:2,<START>|520:1; <START>|240:1,TerminalFormula:2,M-1781@Mohenjo-daro/Bull; M-236@Mohenjo-daro/Gaur
240-630-740,A02-R75-T01,TerminalFiller,AffixOrFormulaAnchor,0.372,2,2,Inter-Riverine:2,Harappa:2,Bull:1; Unknown:1,SEAL:1; TAB:1,Unknown:1; Steatite:1,741|<END>:1; 031|<END>:1,ClassifierSlotTerminalFormula:1; TerminalFormula:1,H-102@Harappa/Bull; H-2192@Harappa/Unknown
201-060,R110-A06,InitialFiller,AffixOrFormulaAnchor,0.37,2,2,Inter-Riverine:2,Harappa:2,Bull:2,SEAL:2,Steatite:2,<START>|240:1; <START>|001:1,TerminalFormula:2,H-17@Harappa/Bull; H-61@Harappa/Bull
550-060,R15-A06,InitialFiller,AffixOrFormulaAnchor,0.37,2,2,Inter-Riverine:2,Harappa:2,Bull:2,SEAL:2,Steatite:2,<START>|240:1; <START>|233:1,TerminalFormula:2,H-421@Harappa/Bull; H-483@Harappa/Bull
003-156,M05-T06,TerminalFiller,AffixOrFormulaAnchor,0.368,2,2,Lower Indus:2,Mohenjo-daro:2,Buff:1; Bull:1,SEAL:2,Steatite:2,031|<END>:1; 060|<END>:1,TerminalFormula:1; ClassifierSlotTerminalFormula:1,M-1928@Mohenjo-daro/Buff; M-80@Mohenjo-daro/Bull
255-435-690,R07-R14-R08,PreTerminalFiller,AffixOrFormulaAnchor,0.365,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:1; Unknown:1,SEAL:2,Steatite:2,060|740:2,TerminalFormula:2,M-626@Mohenjo-daro/Bull; M-682@Mohenjo-daro/Unknown
005-900-740,R49-R06-T01,TerminalFiller,AffixOrFormulaAnchor,0.355,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-878@Mohenjo-daro/Bull
017-585-740,R17-R24-T01,TerminalFiller,AffixOrFormulaAnchor,0.352,1,1,Inter-Riverine:1,Kalibangan:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,K-13@Kalibangan/Bull
032-226,A07-R112,TerminalFiller,AffixOrFormulaAnchor,0.352,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|<END>:1,LowEvidenceSequence:1,M-70@Mohenjo-daro/Bull
803-233-520,A12-A04-T02,TerminalFiller,AffixOrFormulaAnchor,0.321,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,060|<END>:1,ClassifierSlotTerminalFormula:1,M-931@Mohenjo-daro/Bull
350-400-520,R11-T03-T02,TerminalFiller,AffixOrFormulaAnchor,0.317,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|<END>:1,ClassifierSlotTerminalFormula:1,M-732@Mohenjo-daro/Bull
240-415-100,A02-R13-A15,PrimeEntityFiller,PrimeEntityContextNeeded,0.655,3,3,Lower Indus:3,Mohenjo-daro:3,Bull:3,SEAL:3,Steatite:3,002|740:3,PrimeEntitySealFormula:3,M-1746@Mohenjo-daro/Bull; M-144@Mohenjo-daro/Bull; M-199@Mohenjo-daro/Bull
061,R29,PrimeEntityFiller,PrimeEntityContextNeeded,0.652,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-708@Mohenjo-daro/Bull
240-636,A02-R48,PrimeEntityFiller,PrimeEntityContextNeeded,0.588,1,1,Lower Indus:1,Chanhu-daro:1,Unknown:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,C-78@Chanhu-daro/Unknown
384,R27,PrimeEntityFiller,PrimeEntityContextNeeded,0.585,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-213@Mohenjo-daro/Bull
017-575,R17-R22,PrimeEntityFiller,PrimeEntityContextNeeded,0.581,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-792@Mohenjo-daro/Bull
048,R43,PrimeEntityFiller,PrimeEntityContextNeeded,0.579,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-895@Mohenjo-daro/Bull
240-773,A02-R60,PrimeEntityFiller,PrimeEntityContextNeeded,0.577,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:2,SEAL:2,Steatite:1; Faience:1,002|740:2,PrimeEntitySealFormula:2,M-706@Mohenjo-daro/Bull; M-979@Mohenjo-daro/Bull
235-760,M01-A16,PrimeEntityFiller,PrimeEntityContextNeeded,0.572,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:2,SEAL:2,Steatite:2,002|740:2,PrimeEntitySealFormula:2,M-735@Mohenjo-daro/Bull; M-47@Mohenjo-daro/Bull
235-590-390,M01-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,0.568,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:1; Unknown:1,SEAL:2,Steatite:2,002|740:2,PrimeEntitySealFormula:2,M-66@Mohenjo-daro/Bull; M-1343@Mohenjo-daro/Unknown
520-400,T02-T03,TerminalFiller,ControlOrLowPriority,0.564,4,4,Inter-Riverine:3; Lower Indus:1,Harappa:3; Mohenjo-daro:1,Gaur:2; Bull:1; Pipal:1,TAB:3; SEAL:1,Faience:3; Steatite:1,233|<END>:4,TerminalFormula:4,M-1781@Mohenjo-daro/Bull; H-243@Harappa/Pipal; H-698@Harappa/Gaur; H-1770@Harappa/Gaur
820-002-003,C01-A01-M05,InitialFiller,ControlOrLowPriority,0.558,4,4,Lower Indus:3; Inter-Riverine:1,Mohenjo-daro:2; Nausharo:1; Harappa:1,Bull:4,SEAL:4,Steatite:2; Faience:1; Unknown:1,<START>|390:4,InitialClassifierFormula:4,M-1729@Mohenjo-daro/Bull; Ns-7@Nausharo/Bull; M-1806@Mohenjo-daro/Bull; H-1680@Harappa/Bull
032-205,A07-R180,PrimeEntityFiller,PrimeEntityContextNeeded,0.555,1,1,Other:1,Unknown:1,Bull:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,-@Unknown/Bull
347,R32,InitialFiller,ControlOrLowPriority,0.555,8,8,Inter-Riverine:8,Harappa:8,Composite/Multiple:8,TAB:8,Clay:6; Faience:2,<START>|741:8,TerminalFormula:8,H-2024@Harappa/Composite/Multiple; H-1935@Harappa/Composite/Multiple; H-1934@Harappa/Composite/Multiple; H-2026@Harappa/Composite/Multiple; H-2028@Harappa/Composite/Multiple; H-2029@Harappa/Composite/Multiple; H-2027@Harappa/Composite/Multiple; H-2030@Harappa/Composite/Multiple
101,R106,PrimeEntityFiller,PrimeEntityContextNeeded,0.549,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,C-1@Chanhu-daro/Bull
817-002-003,C03-A01-M05,InitialFiller,ControlOrLowPriority,0.547,3,3,Lower Indus:2; Inter-Riverine:1,Harappa:1; Mohenjo-daro:1; Chanhu-daro:1,Bull:3,SEAL:3,Steatite:3,<START>|390:3,InitialClassifierFormula:3,H-407@Harappa/Bull; M-32@Mohenjo-daro/Bull; C-66@Chanhu-daro/Bull
066,R104,InitialFiller,ControlOrLowPriority,0.536,2,2,Lower Indus:1; Other:1,Allahdino:1; Unknown:1,Bull:2,SEAL:2,Steatite:1; Unknown:1,<START>|741:2,TerminalFormula:2,Ad-4@Allahdino/Bull; -@Unknown/Bull
240-904,A02-R19,PrimeEntityFiller,PrimeEntityContextNeeded,0.53,3,3,Inter-Riverine:3,Harappa:3,Bull2:3,TAB:3,Clay:2; Unknown:1,002|740:3,PrimeEntityAdministrativeFormula:3,H-697@Harappa/Bull2; -@Harappa/Bull2; H-1100@Harappa/Bull2
851,R102,InitialFiller,ControlOrLowPriority,0.516,3,3,Inter-Riverine:3,Harappa:3,Unknown:3,TAB:3,Steatite:1; Unknown:1; Faience:1,<START>|741:3,TerminalFormula:3,H-890@Harappa/Unknown; -@Harappa/Unknown; H-1810@Harappa/Unknown
003-900,M05-R06,PrimeEntityFiller,PrimeEntityContextNeeded,0.515,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,H-60@Harappa/Bull
920,M04,InitialFiller,ControlOrLowPriority,0.508,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:1; Gaur:1,SEAL:2,Steatite:2,<START>|001:2,TerminalFormula:2,M-23@Mohenjo-daro/Bull; M-234@Mohenjo-daro/Gaur
