Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,TextCount,TopRegion,TopSite,TopSymbol,TopType,TopMaterial,Frames,SemanticFrames,ExampleTexts
240-503-017-752-740,A02-R39-R17-R59-T01,TerminalFiller,ControlOrLowPriority,0.328,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-30@Mohenjo-daro/Bull
240-927-740,A02-R82-T01,TerminalFiller,ControlOrLowPriority,0.328,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,031|<END>:1,TerminalFormula:1,M-951@Mohenjo-daro/Bull
456,R90,InitialFiller,ControlOrLowPriority,0.328,1,1,Lower Indus:1,Chanhu-daro:1,Gaur:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,C-76@Chanhu-daro/Gaur
741-003-220-520,A03-M05-A09-T02,TerminalFiller,ControlOrLowPriority,0.328,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-1672@Mohenjo-daro/Bull
741-233-235-100-740,A03-A04-M01-A15-T01,TerminalFiller,ControlOrLowPriority,0.328,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-647@Mohenjo-daro/Bull
741-235-904-740,A03-M01-R19-T01,TerminalFiller,ControlOrLowPriority,0.328,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-326@Mohenjo-daro/Bull
741-590-390-151,A03-A08-M02-T05,TerminalFiller,ControlOrLowPriority,0.328,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-1902@Mohenjo-daro/Zebu
003-137,M05-R169,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-380@Mohenjo-daro/Unknown
031-154,M03-R51,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-670@Mohenjo-daro/Bull
031-240-520,M03-A02-T02,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Rhinoceros:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-1910@Mohenjo-daro/Rhinoceros
031-350-400-520,M03-R11-T03-T02,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1801@Mohenjo-daro/Bull
032-632-125,A07-R58-R05,InitialFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,TerminalFormula:1,M-38@Mohenjo-daro/Bull
121-740,R166-T01,InitialFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Rhinoceros:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-1910@Mohenjo-daro/Rhinoceros
140-900,M07-R06,InitialFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,TerminalFormula:1,M-1821@Mohenjo-daro/Bull
233-705-033-585-407,A04-A13-A11-R24-R12,TerminalFiller,ControlOrLowPriority,0.326,3,3,Lower Indus:3,Mohenjo-daro:3,Comp:2; Unknown:1,TAB:3,Copper:3,235|<END>:3,LowEvidenceSequence:3,-@Mohenjo-daro/Comp; M-1523@Mohenjo-daro/Comp; M-1524@Mohenjo-daro/Unknown
240-055-482-740,A02-R23-R16-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-638@Mohenjo-daro/Unknown
240-231-590-390-740,A02-R21-A08-M02-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,H-39@Harappa/Bull
322-920-740,R119-M04-T01,InitialFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-380@Mohenjo-daro/Unknown
590-740-745-235,A08-T01-R77-M01,InitialFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,M-638@Mohenjo-daro/Unknown
741-042-740,A03-R152-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-966@Mohenjo-daro/Bull
741-142-156,A03-R50-T06,TerminalFiller,ControlOrLowPriority,0.326,1,1,Gujarat/Kutch:1,Dholavira:1,Bull:1,SEAL:1,Unknown:1,060|<END>:1,TerminalFormula:1,-@Dholavira/Bull
741-335-760-740,A03-R121-A16-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Eastern Headwaters:1,Rakhigarhi:1,Bull:1,SEAL:1,Unknown:1,060|<END>:1,TerminalFormula:1,Rgr-1@Rakhigarhi/Bull
741-416-740,A03-R34-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-971@Mohenjo-daro/Bull
741-440-740,A03-R38-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-1805@Mohenjo-daro/Bull
741-460-740,A03-R91-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-870@Mohenjo-daro/Bull
741-484-337-740,A03-R132-R122-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-755@Mohenjo-daro/Bull
741-550-527,A03-R15-T04,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-964@Mohenjo-daro/Bull
741-590-406-740,A03-A08-R54-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Gujarat/Kutch:1,Lothal:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,L-28@Lothal/Bull
741-840-032-740,A03-R10-A07-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-113@Mohenjo-daro/Bull
741-927-740,A03-R82-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-974@Mohenjo-daro/Bull
759,R271,InitialFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-1801@Mohenjo-daro/Bull
838-740,R61-T01,TerminalFiller,ControlOrLowPriority,0.326,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1821@Mohenjo-daro/Bull
032-220-440-740,A07-A09-R38-T01,TerminalFiller,ControlOrLowPriority,0.325,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-746@Mohenjo-daro/Bull
140-388-443-740,M07-R33-R89-T01,InitialFiller,ControlOrLowPriority,0.325,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,H-420@Harappa/Bull
142-279-151,R50-R194-T05,TerminalFiller,ControlOrLowPriority,0.325,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,M-71@Mohenjo-daro/Bull
233-705-033-070-520,A04-A13-A11-R20-T02,TerminalFiller,ControlOrLowPriority,0.325,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,235|<END>:1,TerminalFormula:1,M-985@Mohenjo-daro/Bull
235-495-017-740,M01-R93-R17-T01,TerminalFiller,ControlOrLowPriority,0.325,1,1,Lower Indus:1,Allahdino:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,Ad-4@Allahdino/Bull
235-590-407-740,M01-A08-R12-T01,InitialFiller,ControlOrLowPriority,0.325,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-1310@Mohenjo-daro/Unknown
240-705-033-176-740,A02-A13-A11-R02-T01,TerminalFiller,ControlOrLowPriority,0.325,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-814@Mohenjo-daro/Bull
388-032-151,R33-A07-T05,TerminalFiller,ControlOrLowPriority,0.325,1,1,Gujarat/Kutch:1,Dholavira:1,Bull:1,SEAL:1,Unknown:1,002|<END>:1,TerminalFormula:1,-@Dholavira/Bull
472-806-154,R131-M06-R51,TerminalFiller,ControlOrLowPriority,0.325,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,H-158@Harappa/Unknown
032-220-240-233,A07-A09-A02-A04,InitialFiller,ControlOrLowPriority,0.324,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|520:1,TerminalFormula:1,H-1678@Harappa/Bull
220-740-565,A09-T01-R73,TerminalFiller,ControlOrLowPriority,0.324,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-127@Mohenjo-daro/Bull
575-590-741,R22-A08-A03,InitialFiller,ControlOrLowPriority,0.324,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,M-1900@Mohenjo-daro/Zebu
579-250,R136-R52,InitialFiller,ControlOrLowPriority,0.324,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-159@Mohenjo-daro/Bull
706-033-760-740,R09-A11-A16-T01,TerminalFiller,ControlOrLowPriority,0.324,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,233|<END>:1,TerminalFormula:1,M-1079@Mohenjo-daro/Gaur
790-900-740,R100-R06-T01,TerminalFiller,ControlOrLowPriority,0.324,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,233|<END>:1,TerminalFormula:1,M-121@Mohenjo-daro/Bull
922-060,R299-A06,InitialFiller,ControlOrLowPriority,0.324,1,1,Lower Indus:1,Nausharo:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,Ns-6@Nausharo/Bull
001-176-740,A05-R02-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Gujarat/Kutch:1,Dholavira:1,Gaur:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,-@Dholavira/Gaur
001-950-031-384-740,A05-R303-M03-R27-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Nausharo:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,Ns-87@Nausharo/Bull
003-220-740-090,M05-A09-T01-A10,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-725@Mohenjo-daro/Bull
003-645-740,M05-R25-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1780@Mohenjo-daro/Bull
003-900-702-741,M05-R06-R139-A03,InitialFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,H-450@Harappa/Bull
003-900-703-741,M05-R06-R264-A03,InitialFiller,ControlOrLowPriority,0.323,1,1,Gujarat/Kutch:1,Dholavira:1,Gaur:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,-@Dholavira/Gaur
031-061-142-740,M03-R29-R50-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,741|<END>:1,TerminalFormula:1,M-837@Mohenjo-daro/Bull
031-220-520,M03-A09-T02,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-65@Mohenjo-daro/Bull
032-090-031-151,A07-A10-M03-T05,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-896@Mohenjo-daro/Bull
032-168-235,A07-R108-M01,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,M-675@Mohenjo-daro/Bull
032-220-235,A07-A09-M01,InitialFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Tarkhanewala-dera:1,Bull:1,TAG:1,Clay:1,<START>|520:1,TerminalFormula:1,-@Tarkhanewala-dera/Bull
055-235,R23-M01,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,M-1266@Mohenjo-daro/Unknown
091-500-740-060,R65-R55-T01-A06,InitialFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Faience:1,<START>|390:1,TerminalFormula:1,H-239@Harappa/Unknown
095-001-575-595,R84-A05-R22-R46,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Unknown:1,<START>|001:1,TerminalFormula:1,M-1052@Mohenjo-daro/Unknown
132-175,R168-R68,InitialFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Gaur:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,H-76@Harappa/Gaur
165-831-368,R66-R78-R04,InitialFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,H-40@Harappa/Bull
233-320-920-740,A04-R37-M04-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-111@Mohenjo-daro/Bull
233-483-740,A04-R229-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-1266@Mohenjo-daro/Unknown
234-760-740,R186-A16-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Gujarat/Kutch:1,Dholavira:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,-@Dholavira/Bull
235-233-055-555-527,M01-A04-R23-R40-T04,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1081@Mohenjo-daro/Gaur
235-240-100-740,M01-A02-A15-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Gaur:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,H-76@Harappa/Gaur
235-240-151,M01-A02-T05,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1756@Mohenjo-daro/Bull
235-240-233-520,M01-A02-A04-T02,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-129@Mohenjo-daro/Bull
235-740-090,M01-T01-A10,TerminalFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Unknown:1,741|<END>:1,TerminalFormula:1,H-1021@Harappa/Bull
235-798-740,M01-A14-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,H-40@Harappa/Bull
240-003-156,A02-M05-T06,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-93@Mohenjo-daro/Bull
240-235-705-033-520,A02-M01-A13-A11-T02,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,741|<END>:1,TerminalFormula:1,M-1736@Mohenjo-daro/Bull
240-765-740,A02-R272-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-84@Mohenjo-daro/Bull
250-031,R52-M03,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-1744@Mohenjo-daro/Bull
255-070,R07-R20,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-1780@Mohenjo-daro/Bull
263-365-798,R115-R128-A14,InitialFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Unknown:1,<START>|240:1,TerminalFormula:1,H-659@Harappa/Unknown
345-741,R123-A03,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,TerminalFormula:1,M-93@Mohenjo-daro/Bull
353-544-740,R207-R135-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Goat:7:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1129@Mohenjo-daro/Goat:7
360,R126,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-129@Mohenjo-daro/Bull
388-444-740-904-832,R33-R224-T01-R19-R42,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,233|<END>:1,TerminalFormula:1,M-370@Mohenjo-daro/Unknown
467-550,R130-R15,InitialFiller,ControlOrLowPriority,0.323,1,1,Other:1,Unknown:1,Gaur:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,-@Unknown/Gaur
468-806-154,R227-M06-R51,TerminalFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,H-27@Harappa/Bull
469-806-154,R228-M06-R51,TerminalFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Terracotta:1,001|<END>:1,TerminalFormula:1,H-143@Harappa/Unknown
484-337-151,R132-R122-T05,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|<END>:1,TerminalFormula:1,M-119@Mohenjo-daro/Bull
505,R230,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-896@Mohenjo-daro/Bull
518-081-892-400,R133-R105-R36-T03,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-1744@Mohenjo-daro/Bull
518-831,R133-R78,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-1081@Mohenjo-daro/Gaur
530-252,R56-R189,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-725@Mohenjo-daro/Bull
563-900-032-632-125,R244-R06-A07-R58-R05,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,TerminalFormula:1,M-119@Mohenjo-daro/Bull
575-125,R22-R05,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,<START>|741:1,TerminalFormula:1,M-837@Mohenjo-daro/Bull
575-706,R22-R09,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-65@Mohenjo-daro/Bull
590-740,A08-T01,InitialFiller,ControlOrLowPriority,0.323,1,1,Gujarat/Kutch:1,Dholavira:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,-@Dholavira/Bull
621-740,R47-T01,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-782@Mohenjo-daro/Bull
632-269-013,R58-R53-R63,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Buff:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,M-266@Mohenjo-daro/Buff
706-033-807-388-740,R09-A11-R283-R33-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,233|<END>:1,TerminalFormula:1,M-675@Mohenjo-daro/Bull
716-032-031,R267-A07-M03,InitialFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Faience:1,<START>|741:1,TerminalFormula:1,H-776@Harappa/Unknown
740-140-845-407,T01-M07-R62-R12,TerminalFiller,ControlOrLowPriority,0.323,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Unknown:1,233|<END>:1,TerminalFormula:1,H-659@Harappa/Unknown
740-740,T01-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Other:1,Unknown:1,Gaur:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,-@Unknown/Gaur
741-031-017-575-740,A03-M03-R17-R22-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,TAG:1,Clay:1,060|<END>:1,TerminalFormula:1,M-1383@Mohenjo-daro/Bull
798-740-565,A14-T01-R73,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Buff:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-266@Mohenjo-daro/Buff
803-740-125-374-842,A12-T01-R05-R88-R79,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,060|<END>:1,TerminalFormula:1,M-626@Mohenjo-daro/Bull
806-032-220-740-679,M06-A07-A09-T01-R35,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Unknown:1,001|<END>:1,TerminalFormula:1,M-1052@Mohenjo-daro/Unknown
808-235,R101-M01,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,TerminalFormula:1,M-757@Mohenjo-daro/Bull
840-257-741,R10-R190-A03,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Nausharo:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,Ns-87@Nausharo/Bull
892,R36,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-1756@Mohenjo-daro/Bull
903-903-741,R143-R143-A03,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,<START>|240:1,TerminalFormula:1,M-1736@Mohenjo-daro/Bull
912-740,R298-T01,TerminalFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-782@Mohenjo-daro/Bull
920-204-595,M04-R179-R46,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-1975@Mohenjo-daro/Unknown
920-368,M04-R04,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|001:1,TerminalFormula:1,M-84@Mohenjo-daro/Bull
920-455,M04-R44,InitialFiller,ControlOrLowPriority,0.323,1,1,Lower Indus:1,Mohenjo-daro:1,Goat:7:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-1129@Mohenjo-daro/Goat:7
016-407,R64-R12,TerminalFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,001|<END>:1,TerminalFormula:1,M-1314@Mohenjo-daro/Unknown
032-220-100-740-090,A07-A09-A15-T01-A10,TerminalFiller,ControlOrLowPriority,0.322,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,741|<END>:1,TerminalFormula:1,M-648@Mohenjo-daro/Bull
033-904-740,A11-R19-T01,TerminalFiller,ControlOrLowPriority,0.322,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,H-519@Harappa/Bull
