Probe,Side,Unit,TextId,CISI,Frame,TargetFrame,Site,Type,Symbol,Material,SemanticFrame,ReadingTokens,StructuralParse
240-740-090 :: 520,Neighbor,520,4156.1,-,002|<END>,233|<END>,Dholavira,TAG,Bull,Clay,ClassifierSlotTerminalFormula,820-002-520,PRODUCTIVE_SLOT(<START>_520)[820-002] | PRODUCTIVE_SLOT(002_<END>)[520]
240-740-090 :: 520,Neighbor,520,4314.1,-,002|<END>,233|<END>,Dholavira,TAG,Bull,-,ClassifierSlotTerminalFormula,820-002-520,PRODUCTIVE_SLOT(<START>_520)[820-002] | PRODUCTIVE_SLOT(002_<END>)[520]
240-482 :: 235,Neighbor,235,1189.1,H-148,<START>|240,<START>|233,Harappa,SEAL,Unknown,Steatite,TerminalFormula,235-240-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-520]
240-482 :: 235,Neighbor,235,4232.1,-,<START>|520,<START>|233,Dholavira,SEAL,Bull,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 235,Neighbor,235,2294.1,M-1917,<START>|233,<START>|233,Mohenjo-daro,SEAL,Tigr,Steatite,TerminalFormula,235-233-555-527-400,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-555-527-400]
240-482 :: 235,Neighbor,235,3096.1,M-653,002|740,<START>|233,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,861-002-235-740-679,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235] | PRODUCTIVE_SLOT(235_<END>)[740-679]
240-482 :: 235,Neighbor,235,70.1,C-70,<START>|240,<START>|233,Chanhu-daro,SEAL,Bull,Steatite,TerminalFormula,235-240-740-151-031-032,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-151-031-032]
240-482 :: 235,Neighbor,235,2060.1,L-111,<START>|240,<START>|233,Lothal,SEAL,Unknown,Shell,TerminalFormula,235-240-904-740,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-904-740]
240-482 :: 235,Neighbor,235,1182.1,H-141,<START>|233,<START>|233,Harappa,SEAL,Unknown,Steatite,LowEvidenceSequence,235-233-002-070-003-900-032-405,PRODUCTIVE_SLOT(<START>_233)[235] | 233:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRODUCTIVE_SLOT(002_<END>)[070-003-900-032-405]
240-482 :: 235,Neighbor,235,2337.1,M-1885,<START>|240,<START>|233,Mohenjo-daro,SEAL,Gaur,Steatite,TerminalFormula,235-240-055-151,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-055-151]
