Probe,Side,Unit,TextId,CISI,Frame,TargetFrame,Site,Type,Symbol,Material,SemanticFrame,ReadingTokens,StructuralParse
590-390 :: 003,Neighbor,003,1924.1,K-65,<START>|390,<START>|390,Kalibangan,SEAL,Scene,-,LowEvidenceSequence,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER
590-390 :: 003,Neighbor,003,2191.1,M-1857,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,LowEvidenceSequence,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER
590-390 :: 003,Neighbor,003,2705.1,M-179,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,LowEvidenceSequence,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER
590-390 :: 003,Neighbor,003,464.1,H-585,<START>|390,<START>|390,Harappa,SEAL,Zebu,-,LowEvidenceSequence,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER
590-390 :: 003,Neighbor,003,1451.1,H-462,741|<END>,<START>|390,Harappa,SEAL,Bull,Steatite,LowEvidenceSequence,630-741-003,PRODUCTIVE_SLOT(<START>_741)[630] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[003]
590-390 :: 520,Neighbor,520,3122.1,M-686,235|<END>,233|<END>,Mohenjo-daro,SEAL,Unknown,Steatite,TerminalFormula,806-235-520,PRODUCTIVE_SLOT(<START>_520)[806-235] | PRODUCTIVE_SLOT(235_<END>)[520]
590-390 :: 520,Neighbor,520,4232.1,-,235|<END>,233|<END>,Dholavira,SEAL,Bull,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
590-390 :: 520,Neighbor,520,5269.1,Rhd-1,031|<END>,233|<END>,Rahman-deri,SEAL,MISC,Bone,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
590-390 :: 520,Neighbor,520,5421.1,-,031|<END>,233|<END>,Kanmer,SEAL,Ass,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
590-390 :: 520,Neighbor,520,2262.1,M-1827,233|<END>,233|<END>,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
590-390 :: 520,Neighbor,520,2426.1,M-1836,233|<END>,233|<END>,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
590-390 :: 520,Neighbor,520,1802.2,H-922,031|<END>,233|<END>,Harappa,TAB,Unknown,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
590-390 :: 520,Neighbor,520,1803.2,H-923,031|<END>,233|<END>,Harappa,TAB,Unknown,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
590-390 :: 520,Neighbor,520,2969.1,M-486,235|<END>,233|<END>,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
590-390 :: 520,Neighbor,520,2970.1,M-487,235|<END>,233|<END>,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
590-390 :: 520,Neighbor,520,613.1,-,235|<END>,233|<END>,Harappa,POT,Unknown,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
590-390 :: 520,Neighbor,520,26.1,-,001|<END>,233|<END>,Banawali,SEAL,Goat:3,Steatite,TerminalFormula,001-520,PRODUCTIVE_SLOT(<START>_520)[001] | PRODUCTIVE_SLOT(001_<END>)[520]
590-390 :: 520,Neighbor,520,5441.1,-,001|<END>,233|<END>,Banawali,SEAL,Scene,Steatite,TerminalFormula,001-520,PRODUCTIVE_SLOT(<START>_520)[001] | PRODUCTIVE_SLOT(001_<END>)[520]
590-390 :: 520,Neighbor,520,4216.1,-,235|<END>,233|<END>,Dholavira,SEAL,Unknown,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
590-390 :: 520,Neighbor,520,920.1,H-1678,233|<END>,233|<END>,Harappa,SEAL,Bull,Steatite,TerminalFormula,032-220-240-233-520,PRODUCTIVE_SLOT(<START>_520)[032-220-240-233] | PRODUCTIVE_SLOT(233_<END>)[520]
590-390 :: 520,Neighbor,520,1274.2,H-249,233|<END>,233|<END>,Harappa,TAB,Unknown,Faience,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
590-390 :: 520,Neighbor,520,5456.1,-,235|<END>,233|<END>,Tarkhanewala-dera,TAG,Bull,Clay,TerminalFormula,032-220-235-520,PRODUCTIVE_SLOT(<START>_520)[032-220-235] | PRODUCTIVE_SLOT(235_<END>)[520]
590-390 :: 520,Neighbor,520,3518.1,M-1157,233|<END>,233|<END>,Mohenjo-daro,SEAL,Elephant,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
590-390 :: 520,Neighbor,520,297.1,H-874,233|<END>,233|<END>,Harappa,TAB,Unknown,Clay,TerminalFormula,240-233-520,PRODUCTIVE_SLOT(<START>_520)[240-233] | PRODUCTIVE_SLOT(233_<END>)[520]
590-390 :: 520,Neighbor,520,4156.1,-,002|<END>,233|<END>,Dholavira,TAG,Bull,Clay,ClassifierSlotTerminalFormula,820-002-520,PRODUCTIVE_SLOT(<START>_520)[820-002] | PRODUCTIVE_SLOT(002_<END>)[520]
590-390 :: 520,Neighbor,520,4314.1,-,002|<END>,233|<END>,Dholavira,TAG,Bull,-,ClassifierSlotTerminalFormula,820-002-520,PRODUCTIVE_SLOT(<START>_520)[820-002] | PRODUCTIVE_SLOT(002_<END>)[520]
240-740-090 :: 740-090,Anchor,240-740-090,1430.1,H-440,031|<END>,235|<END>,Harappa,SEAL,Bull,Steatite,TerminalFormula,031-240-740-090,PRODUCTIVE_SLOT(<START>_240)[031] | PRODUCTIVE_SLOT(031_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,1891.1,K-16,060|<END>,235|<END>,Kalibangan,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-060-240-740-090,PRODUCTIVE_SLOT(<START>_240)[820-060] | PRODUCTIVE_SLOT(060_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,574.1,H-2055,235|<END>,235|<END>,Harappa,TAB,S590,Steatite,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,666.1,H-2054,235|<END>,235|<END>,Harappa,TAB,S590,Steatite,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,902.1,H-2020,235|<END>,235|<END>,Harappa,TAB,Gavial,Clay,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,904.1,H-2019,235|<END>,235|<END>,Harappa,TAB,Gavial,Clay,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,2380.1,M-2026,235|<END>,235|<END>,Mohenjo-daro,TAB,Cros,Faience,TerminalFormula,104-645-590-235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,2949.1,M-464,235|<END>,235|<END>,Mohenjo-daro,TAB,Cros,-,TerminalFormula,104-645-590-235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,2950.1,M-465,235|<END>,235|<END>,Mohenjo-daro,TAB,Cros,-,TerminalFormula,104-645-590-235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,2951.1,M-466,235|<END>,235|<END>,Mohenjo-daro,TAB,Cros,-,TerminalFormula,104-645-590-235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,2952.1,M-467,235|<END>,235|<END>,Mohenjo-daro,TAB,Cros,-,TerminalFormula,104-645-590-235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,3703.1,M-1415,235|<END>,235|<END>,Mohenjo-daro,TAB,Cros,-,TerminalFormula,104-645-590-235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-740-090 :: 740-090,Anchor,240-740-090,3704.1,M-1416,235|<END>,235|<END>,Mohenjo-daro,TAB,Cros,Faience,TerminalFormula,104-645-590-235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-482 :: 233,Neighbor,233,2013.1,L-41,002|740,<START>|520,Lothal,SEAL,Bull,Clay,PrimeEntitySealFormula,817-002-233-740-090,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233] | PRODUCTIVE_SLOT(233_<END>)[740-090]
240-482 :: 233,Neighbor,233,2262.1,M-1827,<START>|520,<START>|520,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-482 :: 233,Neighbor,233,2426.1,M-1836,<START>|520,<START>|520,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-482 :: 233,Neighbor,233,4162.1,-,<START>|001,<START>|520,Dholavira,SEAL,Bull,Steatite,TerminalFormula,233-001-760-740,PRODUCTIVE_SLOT(<START>_001)[233] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[760-740]
240-482 :: 233,Neighbor,233,1268.1,H-243,<START>|520,<START>|520,Harappa,TAB,Pipal,Faience,TerminalFormula,233-520-400,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520-400]
240-482 :: 233,Neighbor,233,1603.1,H-698,<START>|520,<START>|520,Harappa,TAB,Gaur,Faience,TerminalFormula,233-520-400,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520-400]
240-482 :: 233,Neighbor,233,526.1,H-1770,<START>|520,<START>|520,Harappa,TAB,Gaur,Faience,TerminalFormula,233-520-400,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520-400]
240-482 :: 233,Neighbor,233,1274.2,H-249,<START>|520,<START>|520,Harappa,TAB,Unknown,Faience,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-482 :: 233,Neighbor,233,1472.1,H-484,002|<END>,<START>|520,Harappa,SEAL,Bull,Steatite,InitialClassifierFormula,817-002-233,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRODUCTIVE_SLOT(002_<END>)[233]
240-482 :: 233,Neighbor,233,3518.1,M-1157,<START>|520,<START>|520,Mohenjo-daro,SEAL,Elephant,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-740-090 :: 233,Neighbor,233,2013.1,L-41,002|740,<START>|520,Lothal,SEAL,Bull,Clay,PrimeEntitySealFormula,817-002-233-740-090,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233] | PRODUCTIVE_SLOT(233_<END>)[740-090]
240-740-090 :: 233,Neighbor,233,2262.1,M-1827,<START>|520,<START>|520,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-740-090 :: 233,Neighbor,233,2426.1,M-1836,<START>|520,<START>|520,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-740-090 :: 233,Neighbor,233,4162.1,-,<START>|001,<START>|520,Dholavira,SEAL,Bull,Steatite,TerminalFormula,233-001-760-740,PRODUCTIVE_SLOT(<START>_001)[233] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[760-740]
240-740-090 :: 233,Neighbor,233,1268.1,H-243,<START>|520,<START>|520,Harappa,TAB,Pipal,Faience,TerminalFormula,233-520-400,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520-400]
240-740-090 :: 233,Neighbor,233,1603.1,H-698,<START>|520,<START>|520,Harappa,TAB,Gaur,Faience,TerminalFormula,233-520-400,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520-400]
240-740-090 :: 233,Neighbor,233,526.1,H-1770,<START>|520,<START>|520,Harappa,TAB,Gaur,Faience,TerminalFormula,233-520-400,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520-400]
240-740-090 :: 233,Neighbor,233,1274.2,H-249,<START>|520,<START>|520,Harappa,TAB,Unknown,Faience,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-740-090 :: 233,Neighbor,233,1472.1,H-484,002|<END>,<START>|520,Harappa,SEAL,Bull,Steatite,InitialClassifierFormula,817-002-233,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRODUCTIVE_SLOT(002_<END>)[233]
240-740-090 :: 233,Neighbor,233,3518.1,M-1157,<START>|520,<START>|520,Mohenjo-daro,SEAL,Elephant,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
032 :: 798,Neighbor,798,2389.1,M-1681,002|740,<START>|240,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,832-861-002-798-740-233-072-520,832:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[798] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[072-520]
032 :: 798,Neighbor,798,1273.1,H-248,<START>|240,<START>|240,Harappa,TAB,Unknown,Faience,TerminalFormula,798-240-233-320-920-740-400,PRODUCTIVE_SLOT(<START>_240)[798] | 240:SLOT_INITIAL_MODIFIER | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[320-920-740-400]
032 :: 798,Neighbor,798,569.2,H-1922,<START>|240,<START>|240,Harappa,TAB,Unknown,Faience,TerminalFormula,798-240-233-320-920-740-400,PRODUCTIVE_SLOT(<START>_240)[798] | 240:SLOT_INITIAL_MODIFIER | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[320-920-740-400]
032 :: 798,Neighbor,798,2648.1,M-121,<START>|233,<START>|240,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,798-233-790-900-740,PRODUCTIVE_SLOT(<START>_233)[798] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[790-900-740]
032 :: 590,Anchor,032,2212.1,M-165,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,032-390-741-001-760-740-194-740-817,PRODUCTIVE_SLOT(<START>_390)[032] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[760-740-194-740-817]
032 :: 590,Anchor,032,71.1,C-53,031|<END>,<START>|390,Chanhu-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,861-002-235-222-740-031-032,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032 :: 590,Anchor,032,74.1,C-58,031|<END>,<START>|390,Chanhu-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,861-002-235-222-740-031-032,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032 :: 590,Anchor,032,72.1,C-76,031|<END>,<START>|390,Chanhu-daro,SEAL,Gaur,Steatite,TerminalFormula,456-741-740-530-032-850-031-032,PRODUCTIVE_SLOT(<START>_741)[456] | 741:SLOT_INITIAL_MODIFIER | 740:TERMINAL_TITLE_OR_SUFFIX | 530:SIGN | 032:SLOT_INITIAL_MODIFIER | 850:SIGN | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032 :: 590,Anchor,032,3993.1,M-1835,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,-,LowEvidenceSequence,032-390-001-004-900-154,PRODUCTIVE_SLOT(<START>_390)[032] | 390:CLOSING_FORMULA_MARKER | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[004-900-154]
032 :: 590,Anchor,032,228.1,-,<START>|001,<START>|390,Harappa,TAB,Unknown,Steatite,TerminalFormula,032-001-904-031-740,PRODUCTIVE_SLOT(<START>_001)[032] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[904-031-740]
032 :: 590,Anchor,032,229.1,H-1312,<START>|001,<START>|390,Harappa,TAB,Unknown,Steatite,TerminalFormula,032-001-904-031-740,PRODUCTIVE_SLOT(<START>_001)[032] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[904-031-740]
032 :: 590,Anchor,032,112.1,C-29,031|<END>,<START>|390,Chanhu-daro,SEAL,Unknown,Steatite,TerminalFormula,032-634-840-032-384-740-031-032,032:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(032_740)[634-840-032-384] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032 :: 590,Anchor,032,2461.1,M-1853,820|<END>,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,InitialClassifierFormula,005-140-820-032,005:SIGN | 140:LEADING_FORMULA_MARKER | 820:INITIAL_TITLE_OR_CLASSIFIER | PRODUCTIVE_SLOT(820_<END>)[032]
032 :: 590,Anchor,032,73.1,C-68,031|<END>,<START>|390,Chanhu-daro,SEAL,Bull,Steatite,TerminalFormula,713-791-740-031-032,713:SIGN | 791:SIGN | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
032 :: 590,Neighbor,590,3361.1,M-968,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,590-390-741-923-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[923-740]
032 :: 590,Neighbor,590,1133.1,H-75,<START>|390,<START>|390,Harappa,SEAL,Bull,Steatite,TerminalFormula,590-390-740-400,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX | 400:TERMINAL_TITLE_OR_SUFFIX
032 :: 590,Neighbor,590,3390.1,M-998,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,InitialClassifierFormula,590-390-820,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 820:INITIAL_TITLE_OR_CLASSIFIER
032 :: 590,Neighbor,590,3924.1,H-1046,<START>|390,<START>|390,Harappa,SEAL,Bull,-,TerminalFormula,590-390-151,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 151:TERMINAL_TITLE_OR_SUFFIX
032 :: 590,Neighbor,590,6.1,Ad-1,<START>|390,<START>|390,Allahdino,SEAL,Bull,Steatite,TerminalFormula,590-390-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX
032 :: 590,Neighbor,590,90.1,C-2,<START>|390,<START>|390,Chanhu-daro,SEAL,Bull,Steatite,TerminalFormula,590-390-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Anchor,240-482,2801.1,M-280,002|740,002|740,Mohenjo-daro,SEAL,Elephant,Steatite,PrimeEntitySealFormula,140-920-944-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[140-920-944-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Anchor,240-482,1695.1,H-806,002|740,002|740,Harappa,TAB,Unknown,Clay,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Anchor,240-482,1696.1,H-807,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Anchor,240-482,1697.1,H-808,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Anchor,240-482,3970.1,H-1130,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Anchor,240-482,3971.1,H-1131,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Anchor,240-482,729.2,H-2010,002|740,002|740,Harappa,TAB,Bull,Faience,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Anchor,240-482,937.2,H-2011,002|740,002|740,Harappa,TAB,Bull,Clay,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Neighbor,240,3245.1,M-833,002|740,002|740,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,808-002-240-740-550-527,PRODUCTIVE_SLOT(<START>_240)[808-002] | PRIME_ENTITY_SLOT(002_740)[240] | 740:TERMINAL_TITLE_OR_SUFFIX | 550:SIGN | 527:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240,Neighbor,240,2286.1,M-1712,741|<END>,002|740,Mohenjo-daro,SEAL,Bull,Steatite,LowEvidenceSequence,458-390-741-240,PRODUCTIVE_SLOT(<START>_390)[458] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[240]
240-482 :: 240,Neighbor,240,2484.1,M-1720,<START>|233,002|740,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,240-233-740-679,PRODUCTIVE_SLOT(<START>_233)[240] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[740-679]
240-482 :: 240,Neighbor,240,2031.1,L-65,002|<END>,002|740,Lothal,SEAL,Bull,Steatite,InitialClassifierFormula,861-002-240,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRODUCTIVE_SLOT(002_<END>)[240]
240-482 :: 240,Neighbor,240,261.1,H-1052,<START>|233,002|740,Harappa,SEAL,Bull,Steatite,LowEvidenceSequence,240-233-503,PRODUCTIVE_SLOT(<START>_233)[240] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[503]
240-482 :: 240,Neighbor,240,1297.1,H-273,002|<END>,002|740,Harappa,SEAL,Bull,Steatite,InitialClassifierFormula,820-002-240,PRODUCTIVE_SLOT(<START>_240)[820-002] | PRODUCTIVE_SLOT(002_<END>)[240]
240-482 :: 240-176,Anchor,240-482,2801.1,M-280,002|740,002|740,Mohenjo-daro,SEAL,Elephant,Steatite,PrimeEntitySealFormula,140-920-944-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[140-920-944-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-176,Anchor,240-482,1695.1,H-806,002|740,002|740,Harappa,TAB,Unknown,Clay,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-176,Anchor,240-482,1696.1,H-807,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
