Unit,AbstractUnit,Role,TestClass,Dimension,Category,Count,UnitOccurrences,BaselineCount,Expected,Lift,Log2Lift,AssociationScore,Strength
520,T02,TerminalFiller,CrossFramePhoneticAnchor,Site,Dholavira,4,21,21,0.727,5.506,2.461,0.666,Strong
520,T02,TerminalFiller,CrossFramePhoneticAnchor,Region,Gujarat/Kutch,5,21,45,1.557,3.212,1.683,0.664,Strong
140,M07,InitialFiller,CrossFramePhoneticAnchor,Symbol,Goat:4,3,7,3,0.035,86.714,6.438,0.663,Strong
806-235,M06-M01,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,3,6,57,0.563,5.325,2.413,0.663,Strong
140,M07,InitialFiller,CrossFramePhoneticAnchor,Material,Faience,3,7,30,0.346,8.671,3.116,0.657,Strong
176-740,R02-T01,TerminalFiller,CrossFramePhoneticAnchor,Material,Copper,3,8,17,0.224,13.39,3.743,0.645,Strong
235,M01,InitialFiller,CrossFramePhoneticAnchor,Material,Copper,4,28,17,0.784,5.101,2.351,0.64,Strong
861-002,C02-A01,InitialFiller,CrossFramePhoneticAnchor,Type,TAB,7,18,116,3.44,2.035,1.025,0.635,Strong
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,Material,Unknown,4,8,111,1.463,2.734,1.451,0.625,Strong
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,Material,Unknown,5,13,111,2.377,2.103,1.073,0.62,Strong
820-002,C01-A01,InitialFiller,CrossFramePhoneticAnchor,Region,Gujarat/Kutch,3,8,45,0.593,5.058,2.339,0.619,Strong
520-400,T02-T03,TerminalFiller,ControlOrLowPriority,Site,Harappa,3,4,174,1.147,2.616,1.388,0.606,Strong
820,C01,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,InitialClassifierFormula,3,10,36,0.593,5.058,2.339,0.598,Strong
520-400,T02-T03,TerminalFiller,ControlOrLowPriority,Region,Inter-Riverine,3,4,185,1.219,2.461,1.299,0.595,Strong
817-002,C03-A01,InitialFiller,AffixOrFormulaAnchor,Symbol,Bull2,3,16,4,0.105,28.453,4.831,0.594,Strong
817-002,C03-A01,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,PrimeEntityAdministrativeFormula,3,16,12,0.316,9.484,3.246,0.59,Strong
520,T02,TerminalFiller,CrossFramePhoneticAnchor,Type,TAG,3,21,7,0.242,12.388,3.631,0.579,Strong
740,T01,TerminalFiller,CrossFramePhoneticAnchor,Region,Gujarat/Kutch,3,10,45,0.741,4.047,2.017,0.559,Strong
240-520,A02-T02,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,32,32,309,16.29,1.964,0.974,0.829,Moderate
