Unit,AbstractUnit,Role,TestClass,Dimension,Category,Count,UnitOccurrences,BaselineCount,Expected,Lift,Log2Lift,AssociationScore,Strength
072-520,R83-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
095,R84,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
095-001-575-595,R84-A05-R22-R46,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
100-740,A15-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
101,R106,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
112-002,R165-A01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
121-740,R166-T01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
123-065,R167-R103,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
139,R170,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
140-900,M07-R06,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
140-920-740-090,M07-M04-T01-A10,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
140-920-944-002,M07-M04-R302-A01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
142-279-151,R50-R194-T05,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
151,T05,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
156-773,T06-R60,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
168,R108,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
175-720,R68-R140,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
175-741,R68-A03,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
176-100-740,R02-A15-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
176-605-338-740,R02-R137-R205-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
176-740-090-820,R02-T01-A10-C01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
190-297,R109-R70,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
195-125,R178-R05,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
202-645,R111-R25,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
208,R181,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
215,R182,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
219-070-520,R184-R20-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
220-255-435-690,A09-R07-R14-R08,PreTerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
220-520,A09-T02,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
220-740-565,A09-T01-R73,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
220-798-740,A09-A14-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
221,R185,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
231,R21,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
231-798-740,R21-A14-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-001-760,A04-A05-A16,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-235-503,A04-M01-R39,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-235-705-033-520,A04-M01-A13-A11-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-240-100,A04-A02-A15,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-320-920-740,A04-R37-M04-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-335,A04-R121,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-382-923-032,A04-R71-R26-A07,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-440,A04-R38,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-483-740,A04-R229-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-511-269-740,A04-R232-R53-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-550,A04-R15,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-555-527,A04-R40-T04,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-555-527-400,A04-R40-T04-T03,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-560,A04-R242,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-565,A04-R73,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-590-390,A04-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-705-033-031-046,A04-A13-A11-M03-R153,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-705-033-070-520,A04-A13-A11-R20-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-705-033-520,A04-A13-A11-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-705-033-550-527,A04-A13-A11-R15-T04,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-717,A04-R41,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-740-090,A04-T01-A10,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-798-740,A04-A14-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-803,A04-A12,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
233-803-740,A04-A12-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-233-055-555-527,M01-A04-R23-R40-T04,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-233-240-636,M01-A04-A02-R48,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-233-705-033-520,M01-A04-A13-A11-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-240,M01-A02,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-240-151,M01-A02-T05,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-240-233-520,M01-A02-A04-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-240-455-740,M01-A02-R44-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-240-740-090,M01-A02-T01-A10,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-240-923-740,M01-A02-R26-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-350-460-798-740,M01-R11-R91-A14-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-482-740-406-742,M01-R16-T01-R54-R76,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-495-017-740,M01-R93-R17-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-550-527,M01-R15-T04,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-590-407-740,M01-A08-R12-T01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
235-706-033-555-527,M01-R09-A11-R40-T04,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
236,R86,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
236-832-033,R86-R42-A11,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-003-156,A02-M05-T06,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-055-151,A02-R23-T05,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-055-482-740,A02-R23-R16-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-220-717,A02-A09-R41,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-231-520-621,A02-R21-T02-R47,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-232-140-615-590,A02-R113-M07-R98-A08,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-233-705-033-520,A02-A04-A13-A11-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-235-705-033-520,A02-M01-A13-A11-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-350-504,A02-R11-R45,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-455-740,A02-R44-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-495-615,A02-R93-R98,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-503-017-752-740,A02-R39-R17-R59-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-519-760,A02-R233-A16,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-550-527,A02-R15-T04,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-555-527,A02-R40-T04,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-636,A02-R48,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-636-255-817,A02-R48-R07-C03,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-637,A02-R253,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-705-033-176-740,A02-A13-A11-R02-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-705-033-520,A02-A13-A11-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-705-033-803,A02-A13-A11-A12,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-717,A02-R41,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-740-017-585,A02-T01-R17-R24,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-740-151-031-032,A02-T01-T05-M03-A07,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-765-740,A02-R272-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-772,A02-R99,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-832-255-070-760,A02-R42-R07-R20-A16,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-845-032,A02-R62-A07,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-923,A02-R26,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-923-101,A02-R26-R106,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-923-740,A02-R26-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
240-927-740,A02-R82-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
243-150,R69-R85,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
243-159,R69-R173,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
250-031,R52-M03,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
255-070,R07-R20,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
260-940-002,R114-R301-A01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
262,R191,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
263-368-032-220,R115-R04-A07-A09,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
272-033,R87-A11,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
272-033-744,R87-A11-R269,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
272-081-741,R87-R105-A03,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
278-220-958-741-838,R193-A09-R306-A03-R61,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
297-060,R70-A06,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
309-165,R116-R66,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
315-063-220-820,R117-R155-A09-C01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
319-705,R118-A13,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
320-100-740-090,R37-A15-T01-A10,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
322-920-740,R119-M04-T01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
324-794-741,R120-R279-A03,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
325-740,R203-T01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
345,R123,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
345-741,R123-A03,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
346,R124,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
346-840,R124-R10,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
350,R11,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
350-400-520,R11-T03-T02,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
350-400-740-090,R11-T03-T01-A10,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
350-543,R11-R134,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
351-090-384-740,R206-A10-R27-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
353-544-740,R207-R135-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
354-400-520,R125-T03-T02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
360,R126,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
368,R04,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
370-090-817-002,R210-A10-C03-A01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
371-892-202-368-002,R211-R36-R111-R04-A01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
374-920,R88-M04,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
382-016-220-760-740,R71-R64-A09-A16-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
384,R27,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
388-444-740-904-832,R33-R224-T01-R19-R42,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
390-090,M02-A10,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
402,R214,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
412,R216,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
415-220-520,R13-A09-T02,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
415-220-740-679,R13-A09-T01-R35,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
415-220-798-740,R13-A09-A14-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
416-151,R34-T05,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
440-741,R38-A03,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
455-740-840-032-740,R44-T01-R10-A07-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
456,R90,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
456-002,R90-A01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
456-100-740,R90-A15-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
458,R225,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
463-820-390,R92-C01-M02,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
467-806-155,R130-M06-R171,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
480,R72,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
482-740-621,R16-T01-R47,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
484-337-151,R132-R122-T05,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
505,R230,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
518-081-892-400,R133-R105-R36-T03,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
518-831,R133-R78,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
521-400-031-064,R95-T03-M03-R156,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
527-741-032-590,T04-A03-A07-A08,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
530-252,R56-R189,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
544-690-817-002-590,R135-R08-C03-A01-A08,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
550,R15,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
554-527,R240-T04,TerminalFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
563-900-032-632-125,R244-R06-A07-R58-R05,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
564-690-291-002,R96-R08-R198-A01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
564-740,R96-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
575,R22,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
575-031-002-003,R22-M03-A01-M05,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
575-125,R22-R05,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
575-590-741,R22-A08-A03,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
575-706,R22-R09,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
579-250,R136-R52,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
579-250-741,R136-R52-A03,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
585-100-740-858,R24-A15-T01-R289,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
586-561-745,R245-R243-R77,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
590-407-740,A08-R12-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
590-740-745-235,A08-T01-R77-M01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
590-740-746,A08-T01-R270,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
603-861-002-803-798,R246-C02-A01-A12-A14,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
617,R57,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
621-740,R47-T01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
626-605-250,R250-R137-R52,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,1,1,360,0.593,1.686,0.754,0.441,Exploratory
