"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"015","7","4","1","2","0","0.5714","0.1429","0.2857","0","0.3452","-0.4286"
"066","7","3","1","3","0","0.4286","0.1429","0.4286","0","0.3452","-0.2857"
"093","7","0","2","5","0","0","0.2857","0.7143","0","0.6524","0.2857"
"098","7","5","0","2","0","0.7143","0","0.2857","0","0.1429","-0.7143"
"219","7","5","0","2","0","0.7143","0","0.2857","0","0.2024","-0.7143"
"323","7","5","1","1","0","0.7143","0.1429","0.1429","0","0.1905","-0.5714"
"391","7","4","2","1","0","0.5714","0.2857","0.1429","0","0.3571","-0.2857"
"408","7","4","3","0","0","0.5714","0.4286","0","0","0.4286","-0.1429"
"540","7","2","0","5","0","0.2857","0","0.7143","0","0.3857","-0.2857"
"592","7","2","4","1","0","0.2857","0.5714","0.1429","0","0.6429","0.2857"
"804","7","1","4","2","0","0.1429","0.5714","0.2857","0","0.75","0.4286"
"880","7","5","0","2","0","0.7143","0","0.2857","0","0.119","-0.7143"
"014","6","3","0","3","0","0.5","0","0.5","0","0.1917","-0.5"
"018","6","2","1","3","0","0.3333","0.1667","0.5","0","0.45","-0.1667"
"036","6","2","2","2","0","0.3333","0.3333","0.3333","0","0.5079","0"
"064","6","1","4","1","0","0.1667","0.6667","0.1667","0","0.75","0.5"
"221","6","3","0","3","0","0.5","0","0.5","0","0.2847","-0.5"
"234","6","3","2","1","0","0.5","0.3333","0.1667","0","0.4333","-0.1667"
"252","6","0","0","6","0","0","0","1","0","0.2042","0"
"263","6","5","0","1","0","0.8333","0","0.1667","0","0.1","-0.8333"
"354","6","2","1","3","0","0.3333","0.1667","0.5","0","0.4611","-0.1667"
"370","6","5","1","0","0","0.8333","0.1667","0","0","0.1667","-0.6667"
"423","6","1","4","1","0","0.1667","0.6667","0.1667","0","0.75","0.5"
"465","6","5","0","1","0","0.8333","0","0.1667","0","0.1458","-0.8333"
"518","6","3","0","3","0","0.5","0","0.5","0","0.3373","-0.5"
"521","6","1","1","4","0","0.1667","0.1667","0.6667","0","0.5875","0"
"556","6","5","1","0","0","0.8333","0.1667","0","0","0.1667","-0.6667"
"603","6","3","0","3","0","0.5","0","0.5","0","0.375","-0.5"
"642","6","0","0","6","0","0","0","1","0","0.4389","0"
"702","6","2","0","4","0","0.3333","0","0.6667","0","0.3389","-0.3333"
"851","6","3","3","0","0","0.5","0.5","0","0","0.5","0"
"027","5","5","0","0","0","1","0","0","0","0","-1"
"150","5","0","0","5","0","0","0","1","0","0.5514","0"
"155","5","0","3","2","0","0","0.6","0.4","0","0.7667","0.6"
"159","5","0","3","2","0","0","0.6","0.4","0","0.8","0.6"
"201","5","5","0","0","0","1","0","0","0","0","-1"
"257","5","0","1","4","0","0","0.2","0.8","0","0.3952","0.2"
"267","5","0","1","4","0","0","0.2","0.8","0","0.6","0.2"
"352","5","3","0","2","0","0.6","0","0.4","0","0.2933","-0.6"
"401","5","0","4","1","0","0","0.8","0.2","0","0.85","0.8"
"426","5","1","4","0","0","0.2","0.8","0","0","0.8","0.6"
"456","5","3","0","2","0","0.6","0","0.4","0","0.2667","-0.6"
"472","5","2","0","3","0","0.4","0","0.6","0","0.381","-0.4"
"511","5","2","1","2","0","0.4","0.2","0.4","0","0.42","-0.2"
"531","5","2","0","3","0","0.4","0","0.6","0","0.3333","-0.4"
"564","5","2","0","3","0","0.4","0","0.6","0","0.2833","-0.4"
"572","5","1","0","4","0","0.2","0","0.8","0","0.1419","-0.2"
"578","5","0","0","5","0","0","0","1","0","0.4","0"
"626","5","1","0","4","0","0.2","0","0.8","0","0.36","-0.2"
"704","5","2","0","3","0","0.4","0","0.6","0","0.2667","-0.4"
"791","5","2","1","2","0","0.4","0.2","0.4","0","0.3167","-0.2"
"808","5","4","1","0","0","0.8","0.2","0","0","0.2","-0.6"
"019","4","3","0","1","0","0.75","0","0.25","0","0.125","-0.75"
"028","4","4","0","0","0","1","0","0","0","0","-1"
"049","4","2","0","2","0","0.5","0","0.5","0","0.25","-0.5"
"067","4","1","0","3","0","0.25","0","0.75","0","0.5417","-0.25"
"103","4","1","1","2","0","0.25","0.25","0.5","0","0.5","0"
"132","4","2","0","2","0","0.5","0","0.5","0","0.2083","-0.5"
"153","4","0","3","1","0","0","0.75","0.25","0","0.875","0.75"
"202","4","0","0","4","0","0","0","1","0","0.6042","0"
"204","4","0","1","3","0","0","0.25","0.75","0","0.4833","0.25"
"244","4","1","2","1","0","0.25","0.5","0.25","0","0.5278","0.25"
