Frame,Left,Right,Count,DistinctFillers,TopFiller,TopFillerShare,FillerEntropy,SiteCount,RegionCount,TypeCount,SealPct,CompletePct,NameSlotScore,Examples
<START>|004,<START>,004,55,42,817-002,0.1273,0.9519,10,5,11,0.5636,0.8182,0.8584,14.1/Ad-9/Allahdino; 233.1/H-1047/Harappa; 393.2/H-1981/Harappa; 394.2/H-1987/Harappa; 401.1/H-2003/Harappa
<START>|460,<START>,460,33,25,495,0.1212,0.9639,6,3,6,0.8182,0.7576,0.8582,10.1/Ad-5/Allahdino; 131.1/-/Dholavira; 716.1/H-2337/Harappa; 1142.1/H-86/Harappa; 1426.1/H-426/Harappa
017|<END>,017,<END>,80,31,585-740,0.175,0.8715,9,5,9,0.5875,0.825,0.8581,1.1/Agr-1/Alamgirpur; 2.1/Agr-2/Alamgirpur; 3.1/Agr-3/Alamgirpur; 9.1/Ad-4/Allahdino; 202.1/H-1411/Harappa
060|390,060,390,15,13,003,0.1333,0.9837,5,4,2,0.8667,1.0,0.8581,66.1/C-69/Chanhu-daro; 100.1/C-12/Chanhu-daro; 374.2/H-1893/Harappa; 378.1/H-1776/Harappa; 1098.1/H-39/Harappa
<START>|550,<START>,550,63,49,240-705-033,0.0794,0.9572,8,5,11,0.5397,0.7619,0.8578,27.1/B-1/Banawali; 53.1/Ch-1/Chandigarh; 188.1/H-1412/Harappa; 231.1/H-1393/Harappa; 313.1/H-1123/Harappa
003|740,003,740,47,23,220,0.2128,0.8741,5,4,5,0.7021,0.9362,0.8576,237.1/H-1056/Harappa; 292.1/H-1032/Harappa; 1020.1/H-1657/Harappa; 1085.1/H-25/Harappa; 1119.1/H-60/Harappa
240|520,240,520,34,15,233,0.1765,0.9153,6,3,6,0.8235,0.8529,0.8574,95.1/C-7/Chanhu-daro; 199.1/H-423/Harappa; 297.1/H-874/Harappa; 485.2/H-1953/Harappa; 920.1/H-1678/Harappa
798|<END>,798,<END>,124,68,740,0.3468,0.7831,9,4,11,0.6694,0.7581,0.8572,23.1/Blk-6/Bala-kot; 95.1/C-7/Chanhu-daro; 199.1/H-423/Harappa; 243.1/H-1175/Harappa; 288.1/H-1402/Harappa
<START>|017,<START>,017,58,38,231,0.1379,0.9244,6,4,8,0.6379,0.7759,0.8571,9.1/Ad-4/Allahdino; 259.1/H-1051/Harappa; 730.1/-/Harappa; 749.2/H-2183/Harappa; 1064.1/H-3/Harappa
002|520,002,520,90,53,240,0.3222,0.8198,6,4,6,0.6,0.8778,0.857,41.1/B-23/Banawali; 87.1/C-67/Chanhu-daro; 92.1/C-4/Chanhu-daro; 95.1/C-7/Chanhu-daro; 402.2/H-2015/Harappa
002|220,002,220,69,29,032,0.3913,0.7685,8,4,5,0.9275,0.7971,0.857,62.1/C-65/Chanhu-daro; 98.1/C-10/Chanhu-daro; 130.1/-/Dholavira; 293.1/H-1033/Harappa; 303.1/H-1043/Harappa
<START>|154,<START>,154,39,30,468-806,0.1282,0.9642,5,4,6,0.641,0.8462,0.8568,134.1/-/Dholavira; 220.1/H-1142/Harappa; 274.1/-/Harappa; 482.1/H-2351/Harappa; 592.1/H-1999/Harappa
002|240,002,240,34,15,235,0.1765,0.8995,5,4,4,0.9412,0.7647,0.8564,62.1/C-65/Chanhu-daro; 95.1/C-7/Chanhu-daro; 1073.1/H-12/Harappa; 1172.1/H-131/Harappa; 1426.1/H-426/Harappa
742|<END>,742,<END>,39,35,760-740,0.0769,0.9829,7,4,4,0.8462,0.5897,0.8563,126.1/-/Dholavira; 126.1/-/Dholavira; 432.2/H-1820/Harappa; 584.2/H-1819/Harappa; 655.2/H-1818/Harappa
005|<END>,005,<END>,46,22,900-740,0.1957,0.8825,7,3,8,0.6739,0.9348,0.8558,121.1/C-40/Chanhu-daro; 246.1/H-1045/Harappa; 315.1/H-1517/Harappa; 379.1/H-1996/Harappa; 1209.1/H-175/Harappa
390|<END>,390,<END>,137,65,740,0.3942,0.743,15,7,12,0.7007,0.7664,0.8556,6.1/Ad-1/Allahdino; 7.1/Ad-2/Allahdino; 90.1/C-2/Chanhu-daro; 100.1/C-12/Chanhu-daro; 109.1/C-22/Chanhu-daro
002|151,002,151,15,15,031-382,0.0667,1.0,4,3,3,0.8667,0.9333,0.8555,145.1/Dlv-1/Dholavira; 303.1/H-1043/Harappa; 1211.1/H-177/Harappa; 1491.1/H-514/Harappa; 2179.1/M-1880/Mohenjo-daro
125|002,125,002,17,12,390,0.2353,0.9433,6,3,3,0.9412,0.9412,0.8549,19.1/Blk-1/Bala-kot; 1114.1/H-55/Harappa; 1132.1/H-74/Harappa; 1171.1/H-130/Harappa; 1981.1/Lh-1/Lohumjo-daro
350|740,350,740,17,13,463-798,0.1765,0.9654,5,2,4,0.8824,0.9412,0.8546,1492.1/H-515/Harappa; 1890.1/K-15/Kalibangan; 2213.1/M-235/Mohenjo-daro; 2579.1/M-51/Mohenjo-daro; 2619.1/M-92/Mohenjo-daro
220|520,220,520,21,17,705-033,0.1429,0.9726,6,4,3,0.8095,0.9048,0.8545,920.1/H-1678/Harappa; 1169.1/H-103/Harappa; 1899.1/K-25/Kalibangan; 2077.1/L-134/Lothal; 2178.1/M-1696/Mohenjo-daro
550|<END>,550,<END>,99,55,527,0.2525,0.8417,9,5,12,0.5556,0.798,0.8543,27.1/B-1/Banawali; 53.1/Ch-1/Chandigarh; 210.1/H-1310/Harappa; 216.1/-/Baror; 231.1/H-1393/Harappa
<START>|861,<START>,861,93,50,003,0.3118,0.8156,8,4,7,0.5484,0.8925,0.8537,78.1/C-71/Chanhu-daro; 466.2/H-1882/Harappa; 476.2/H-2094/Harappa; 488.2/H-2097/Harappa; 518.2/H-2095/Harappa
<START>|455,<START>,455,34,29,090-942-066,0.0882,0.9821,6,4,5,0.7353,0.7353,0.8536,271.1/H-1289/Harappa; 394.2/H-1987/Harappa; 491.1/H-2127/Harappa; 513.1/H-1671/Harappa; 589.1/H-2128/Harappa
803|520,803,520,22,16,233,0.2273,0.9375,5,3,2,0.9091,0.8636,0.8536,87.1/C-67/Chanhu-daro; 92.1/C-4/Chanhu-daro; 322.1/H-1027/Harappa; 485.2/H-1953/Harappa; 1103.1/H-44/Harappa
742|740,742,740,20,18,760,0.15,0.9794,4,3,2,1.0,0.7,0.8527,126.1/-/Dholavira; 126.1/-/Dholavira; 1095.1/H-36/Harappa; 1444.1/H-454/Harappa; 1909.1/K-43/Kalibangan
<START>|440,<START>,440,31,27,220,0.1613,0.9632,9,4,7,0.8065,0.7419,0.8526,13.1/Ad-8/Allahdino; 109.1/C-22/Chanhu-daro; 220.1/H-1142/Harappa; 475.2/H-1948/Harappa; 741.1/H-1690/Harappa
<START>|617,<START>,617,52,35,142,0.1731,0.9134,5,4,7,0.5769,0.8654,0.8524,137.1/-/Dholavira; 160.1/-/Hajar; 278.1/M-592/Mohenjo-daro; 386.2/H-1853/Harappa; 552.1/H-1767/Harappa
<START>|920,<START>,920,62,35,803-415-220-318,0.1774,0.9031,8,4,8,0.5806,0.8065,0.8521,91.1/C-3/Chanhu-daro; 103.1/C-15/Chanhu-daro; 123.1/Dlp-1/Desalpur; 259.1/H-1051/Harappa; 291.1/-/Harappa
<START>|065,<START>,065,14,14,928-706-798-599,0.0714,1.0,4,3,3,0.9286,0.8571,0.8512,1152.1/H-97/Harappa; 1658.1/H-766/Harappa; 1899.1/K-25/Kalibangan; 2009.1/L-36/Lothal; 2507.1/M-1730/Mohenjo-daro
<START>|070,<START>,070,24,21,832-255,0.0833,0.9869,4,4,5,0.7917,0.7917,0.8508,294.1/H-161/Harappa; 510.2/H-1916/Harappa; 601.1/H-2021/Harappa; 1123.1/H-64/Harappa; 1147.1/H-91/Harappa
