StructuralTemplate,Count
SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,4
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,4
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,4
SIGN INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,4
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,4
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,4
SIGN SIGN LEADING_FORMULA_MARKER,4
SIGN LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,4
SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,3
SIGN LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,3
SLOT_INITIAL_MODIFIER SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,3
SLOT_INITIAL_MODIFIER SIGN SIGN SLOT_FINAL_MODIFIER,3
SLOT_FINAL_MODIFIER INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,3
SLOT_FINAL_MODIFIER LEADING_FORMULA_MARKER,3
SLOT_FINAL_MODIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,3
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,3
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER,3
SIGN SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,3
TERMINAL_TITLE_OR_SUFFIX SIGN SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX SIGN,3
SLOT_FINAL_MODIFIER LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,3
SIGN LEADING_FORMULA_MARKER SIGN SIGN,3
SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,3
SIGN SLOT_INITIAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,3
LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,3
SLOT_INITIAL_MODIFIER SIGN SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,3
SIGN SLOT_FINAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX,3
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,3
SLOT_FINAL_MODIFIER INITIAL_TITLE_OR_CLASSIFIER,3
PRODUCTIVE_SLOT PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,3
SIGN SIGN SIGN SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,3
SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX,3
LEADING_FORMULA_MARKER SIGN SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,3
LEADING_FORMULA_MARKER SIGN SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX SIGN,3
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER SIGN,3
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,2
SIGN SIGN SIGN SIGN SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,2
SIGN SLOT_INITIAL_MODIFIER LEADING_FORMULA_MARKER,2
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,2
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,2
SIGN SIGN SIGN SLOT_FINAL_MODIFIER,2
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,2
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,2
LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER SLOT_FINAL_MODIFIER,2
SIGN LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN,2
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SLOT_INITIAL_MODIFIER SIGN,2
SIGN SLOT_FINAL_MODIFIER SLOT_FINAL_MODIFIER,2
SLOT_FINAL_MODIFIER SIGN SLOT_FINAL_MODIFIER SIGN,2
SIGN SIGN SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,2
SLOT_INITIAL_MODIFIER SIGN SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,2
SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER SIGN SIGN,2
SIGN SIGN SIGN SIGN SLOT_FINAL_MODIFIER,2
SLOT_FINAL_MODIFIER SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER,2
SIGN SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER,2
SLOT_FINAL_MODIFIER SLOT_INITIAL_MODIFIER,2
SLOT_FINAL_MODIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,2
SLOT_FINAL_MODIFIER SIGN LEADING_FORMULA_MARKER SIGN,2
LEADING_FORMULA_MARKER SIGN SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER,2
SLOT_INITIAL_MODIFIER SIGN SIGN LEADING_FORMULA_MARKER,2
SLOT_FINAL_MODIFIER SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER SIGN,2
CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,2
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN,2
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2
SIGN SIGN SIGN SIGN SIGN,2
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,2
LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2
SIGN TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER SIGN,2
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,2
SIGN SLOT_INITIAL_MODIFIER SIGN SIGN,2
SIGN INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,2
SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,2
PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN,2
SIGN SLOT_FINAL_MODIFIER INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,2
SIGN SLOT_FINAL_MODIFIER SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2
SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,2
PRODUCTIVE_SLOT PRIME_ENTITY_SLOT PRODUCTIVE_SLOT,2
SLOT_FINAL_MODIFIER SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,2
SIGN INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,2
SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER SIGN,2
LEADING_FORMULA_MARKER SIGN SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,2
SLOT_FINAL_MODIFIER SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,2
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,2
SIGN SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,2
SIGN SIGN NAME_LIKE_BLOCK,2
INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT PRODUCTIVE_SLOT,2
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER NAME_LIKE_BLOCK,2
SLOT_FINAL_MODIFIER SIGN SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,2
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,2
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX SIGN SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN,2
SIGN SIGN SLOT_FINAL_MODIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,2
SIGN SIGN SIGN SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,2
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,2
SIGN SIGN LEADING_FORMULA_MARKER SIGN,2
LEADING_FORMULA_MARKER SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,2
