Unit,TextId,CISI,Region,Site,Type,Symbol,Material,Complete,ReadingTokens,Frame,Position,SemanticFrame,ReconstructionConfidence,StructuralParse
176,2263.1,M-963,Lower Indus,Mohenjo-daro,SEAL,Bull,Steatite,Y,817-002-176-740,002|740,3-3,PrimeEntitySealFormula,0.53,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX
235-222,3896.1,-,Other,Unknown,SEAL,Bull,-,Y,820-002-235-222-740,002|740,3-4,PrimeEntitySealFormula,0.5,820:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX
235-222,71.1,C-53,Lower Indus,Chanhu-daro,SEAL,Bull,Steatite,Y,861-002-235-222-740-031-032,002|740,3-4,PrimeEntitySealFormula,0.71,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
235-222,74.1,C-58,Lower Indus,Chanhu-daro,SEAL,Bull,Steatite,Y,861-002-235-222-740-031-032,002|740,3-4,PrimeEntitySealFormula,0.71,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032]
235-840-032,3925.1,H-1048,Inter-Riverine,Harappa,SEAL,Bull,-,Y,817-002-235-840-032-740,002|740,3-5,PrimeEntitySealFormula,0.5,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-840-032] | 740:TERMINAL_TITLE_OR_SUFFIX
235-840-032,3513.1,M-1152,Lower Indus,Mohenjo-daro,SEAL,Elephant,Steatite,Y,861-002-235-840-032-740,002|740,3-5,PrimeEntitySealFormula,0.5,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-840-032] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176,1413.1,H-408,Inter-Riverine,Harappa,SEAL,Bull,Steatite,Y,503-702-002-240-176-740,002|740,4-5,PrimeEntitySealFormula,0.57,PRODUCTIVE_SLOT(<START>_240)[503-702-002] | PRIME_ENTITY_SLOT(002_740)[240-176] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176,2809.1,M-289,Lower Indus,Mohenjo-daro,SEAL,Tigr,Steatite,Y,817-002-240-176-740,002|740,3-4,PrimeEntitySealFormula,0.7,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-176] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482,3970.1,H-1130,Inter-Riverine,Harappa,TAB,Unknown,-,Y,861-002-240-482-740,002|740,3-4,PrimeEntityAdministrativeFormula,0.62,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482,3971.1,H-1131,Inter-Riverine,Harappa,TAB,Unknown,-,Y,861-002-240-482-740,002|740,3-4,PrimeEntityAdministrativeFormula,0.62,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482,729.2,H-2010,Inter-Riverine,Harappa,TAB,Bull,Faience,Y,861-002-240-482-740,002|740,3-4,PrimeEntityAdministrativeFormula,0.62,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482,937.2,H-2011,Inter-Riverine,Harappa,TAB,Bull,Clay,Y,861-002-240-482-740,002|740,3-4,PrimeEntityAdministrativeFormula,0.62,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482,1695.1,H-806,Inter-Riverine,Harappa,TAB,Unknown,Clay,Y,861-002-240-482-740,002|740,3-4,PrimeEntityAdministrativeFormula,0.62,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482,1696.1,H-807,Inter-Riverine,Harappa,TAB,Unknown,-,Y,861-002-240-482-740,002|740,3-4,PrimeEntityAdministrativeFormula,0.62,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482,1697.1,H-808,Inter-Riverine,Harappa,TAB,Unknown,-,Y,861-002-240-482-740,002|740,3-4,PrimeEntityAdministrativeFormula,0.62,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482,2801.1,M-280,Lower Indus,Mohenjo-daro,SEAL,Elephant,Steatite,Y,140-920-944-002-240-482-740,002|740,5-6,PrimeEntitySealFormula,0.67,PRODUCTIVE_SLOT(<START>_240)[140-920-944-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-740-090,904.1,H-2019,Inter-Riverine,Harappa,TAB,Gavial,Clay,Y,235-240-740-090,235|<END>,2-4,TerminalFormula,0.66,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
