"SignA","SignB","ReviewTier","VisualClass","DistributionalSimilarity","PositionalSimilarity","GeographicSeparation","ChronologySeparation","ChronologyCoverage","AllographScore","RegionalAllographyScore","ChronologicalLayeringScore","ModifierScore","FunctionalClusterScore","TopHypothesis","RecommendedNextStep"
"167","868","Tier3","Unreviewed","0.967096","1","0.332474","0.438808","0.7188","0.729442","0.168179","0.305037","0.165913","0.809943","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"151","161","Tier3","Unreviewed","0.928616","0.85415","0.136748","0.554258","0.514","0.725971","0.090329","0.225967","0.182315","0.664286","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"820","880","Tier3","Unreviewed","0.920347","0.8819","0.211589","0.35022","0.498","0.72376","0.135859","0.14156","0.178086","0.67976","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"151","740","Tier3","Unreviewed","0.94302","0.8125","0.050564","0.126551","0.5124","0.723543","0.033024","0.049684","0.187274","0.641696","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"760","923","Tier3","Unreviewed","0.919178","0.9278","0.137212","0.225663","0.514","0.7228","0.083189","0.098918","0.172079","0.714231","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"176","792","Tier3","Unreviewed","0.936572","0.85405","0.049865","0.272239","0.587","0.721918","0.031405","0.127824","0.181513","0.669899","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"435","436","Tier3","Unreviewed","0.949715","0.9815","0.266701","0.453757","0.5652","0.72009","0.132282","0.239061","0.165453","0.780672","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"151","400","Tier3","Unreviewed","0.919148","0.95135","0.226237","0.26184","0.6711","0.719464","0.128489","0.153656","0.168301","0.732336","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"565","679","Tier3","Unreviewed","0.940234","0.8229","0.029383","0.581977","0.5294","0.71581","0.017961","0.238382","0.183971","0.647989","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"482","772","Tier3","Unreviewed","0.944688","0.9091","0.160637","0.639432","0.4706","0.709085","0.081551","0.258432","0.171626","0.719258","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"090","679","Tier3","Unreviewed","0.946794","0.793","0.178424","0.657134","0.528","0.706496","0.10214","0.260505","0.185544","0.628801","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"222","760","Tier3","Unreviewed","0.903336","0.8861","0.223652","0.278799","0.5563","0.704802","0.124848","0.124146","0.172396","0.670374","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"098","137","Tier3","Unreviewed","0.937473","0.7917","0.108032","0.479232","0.7308","0.702916","0.061138","0.259934","0.184578","0.62159","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"817","880","Tier3","Unreviewed","0.905099","0.7997","0.215051","0.37512","0.4957","0.686256","0.111083","0.13459","0.178604","0.606189","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"416","698","Tier3","Unreviewed","0.918185","0.8182","0.121248","0.929359","0.6269","0.664241","0.046046","0.437695","0.171115","0.629179","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"923","927","Tier3","Unreviewed","0.901191","0.75","0.068556","0.446463","0.3571","0.663989","0.03045","0.107759","0.179152","0.566061","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"033","034","Tier3","Unreviewed","0.90829","0.6087","0.127984","0.15049","0.6238","0.65408","0.057317","0.051902","0.194515","0.463034","NeedsVisualReview","Acquire or inspect visual evidence before interpreting the distributional match."
"400","679","Tier3","Unreviewed","0.913864","0.72155","0.258537","0.739447","0.6852","0.646213","0.094869","0.334097","0.178581","0.552246","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"400","621","Tier3","Unreviewed","0.915002","0.8194","0.438799","0.665911","0.6927","0.644679","0.125187","0.345843","0.165995","0.627918","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"698","942","Tier3","Unreviewed","0.905795","0.6875","0.295807","1","0.45","0.609905","0.071844","0.28023","0.173559","0.52154","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
