TextId,CISI,Site,Type,ReadingTokens,AbstractSigns,SemanticFrame,ControlledSentenceGloss,StructuralParse,SlotFillers,ReconstructionConfidence,PhoneticReadiness,PhoneticTest
3518.1,M-1157,Mohenjo-daro,SEAL:S,233-520,A04-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520],<START>|520:233@1-1; 233|<END>:520@2-2,0.56,Medium,"compare all artifacts in frames 233|<END>, <START>|520; test reused filler(s) 233, 520 across frames; inspect minimal alternation(s) involving 233, 520"
3541.1,M-1190,Mohenjo-daro,SEAL:S,920-060-741-235-231-740-741,M04-A06-A03-M01-R21-T01-A03,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-235-231-740-741],<START>|741:920-060@1-2; 060|<END>:741-235-231-740-741@3-7,0.56,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
3663.1,M-1364,Mohenjo-daro,SEAL:R,820-060-003-405,C01-A06-M05-R01,InitialClassifierFormula,initial classifier/title followed by a short formula,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[003-405],060|<END>:003-405@3-4,0.56,Medium,compare all artifacts in frames 060|<END>
2689.1,M-163,Mohenjo-daro,SEAL:S,820-060-415-220-520,C01-A06-R13-A09-T02,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[415-220-520],060|<END>:415-220-520@3-5,0.56,Medium,compare all artifacts in frames 060|<END>
2427.1,M-1768,Mohenjo-daro,SEAL:S,820-060-220-798-740,C01-A06-A09-A14-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[220-798-740],060|<END>:220-798-740@3-5,0.56,Medium,compare all artifacts in frames 060|<END>
2345.1,M-1804,Mohenjo-daro,SEAL:S,820-060-231-798-740,C01-A06-R21-A14-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[231-798-740],060|<END>:231-798-740@3-5,0.56,Medium,compare all artifacts in frames 060|<END>
2889.1,M-393,Mohenjo-daro,SEAL:R,540-002-806-240-017-575-740-679,R236-A01-M06-A02-R17-R22-T01-R35,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,540:SIGN | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[806-240-017-575] | NAME_LIKE_BLOCK[740-679],002|740:806-240-017-575@3-6,0.56,Medium,compare all artifacts in frames 002|740
2921.1,M-427,Mohenjo-daro,TAG:P,920-060-741-415-100-740,M04-A06-A03-R13-A15-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-415-100-740],<START>|741:920-060@1-2; 060|<END>:741-415-100-740@3-6,0.56,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
2578.1,M-50,Mohenjo-daro,SEAL:S,820-002-798-240-705-033-017-585-740,C01-A01-A14-A02-A13-A11-R17-R24-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_240)[820-002-798] | 240:SLOT_INITIAL_MODIFIER | 705:SLOT_INITIAL_MODIFIER | 033:SLOT_FINAL_MODIFIER | NAME_LIKE_BLOCK[017-585-740],<START>|240:820-002-798@1-3,0.56,Medium,compare all artifacts in frames <START>|240
3043.1,M-573,Mohenjo-daro,TAB:C,861-368-001-142-617-235-233-222-740,C02-R04-A05-R50-R57-M01-A04-R31-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_001)[861-368] | 001:SLOT_INITIAL_MODIFIER | 142:SIGN | 617:SIGN | 235:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(235_<END>)[233-222-740],<START>|001:861-368@1-2; 235|<END>:233-222-740@7-9,0.56,Medium,"compare all artifacts in frames 235|<END>, <START>|001"
3080.1,M-629,Mohenjo-daro,SEAL:S,861-002-798-240-176-740-679,C02-A01-A14-A02-R02-T01-R35,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[798-240-176] | NAME_LIKE_BLOCK[740-679],002|740:798-240-176@3-5,0.56,Medium,compare all artifacts in frames 002|740
3173.1,M-750,Mohenjo-daro,SEAL:S,820-060-773-740,C01-A06-R60-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[773-740],060|<END>:773-740@3-4,0.56,Medium,compare all artifacts in frames 060|<END>
3206.1,M-792,Mohenjo-daro,SEAL:S,817-002-017-575-740-679,C03-A01-R17-R22-T01-R35,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[017-575] | NAME_LIKE_BLOCK[740-679],002|740:017-575@3-4,0.56,Medium,compare all artifacts in frames 002|740
3284.1,M-875,Mohenjo-daro,SEAL:S,820-060-031-105,C01-A06-M03-R163,InitialClassifierFormula,initial classifier/title followed by a short formula,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[031-105],060|<END>:031-105@3-4,0.56,Medium,compare all artifacts in frames 060|<END>
3326.1,M-931,Mohenjo-daro,SEAL:S,820-060-803-233-520,C01-A06-A12-A04-T02,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[803-233-520],060|<END>:803-233-520@3-5,0.56,Medium,compare all artifacts in frames 060|<END>
5371.1,Ns-70,Nausharo,POT:T:g,031-001,M03-A05,LowEvidenceSequence,unresolved sequence with insufficient structural evidence,PRODUCTIVE_SLOT(<START>_001)[031] | PRODUCTIVE_SLOT(031_<END>)[001],<START>|001:031@1-1; 031|<END>:001@2-2,0.56,Medium,"compare all artifacts in frames 031|<END>, <START>|001; test reused filler(s) 031 across frames; inspect minimal alternation(s) involving 001, 031"
2523.1,-,Mohenjo-daro,TAB:C,806-235-233-705-033-585-407,M06-M01-A04-A13-A11-R24-R12,LowEvidenceSequence,unresolved sequence with insufficient structural evidence,PRODUCTIVE_SLOT(<START>_233)[806-235] | PRODUCTIVE_SLOT(235_<END>)[233-705-033-585-407],<START>|233:806-235@1-2; 235|<END>:233-705-033-585-407@3-7,0.55,Medium,"compare all artifacts in frames 235|<END>, <START>|233; inspect minimal alternation(s) involving 806-235"
