"Rank","Sign","TotalTokens","TokenPct","CumulativeCoverage","CoreGroup","PositionRole","MechanismHypothesis","StartPct","MedialPct","EndPct","SingletonPct","PositionEntropy10","LeftNeighborEntropy","RightNeighborEntropy","DominantLeftNeighbor","DominantLeftShare","DominantRightNeighbor","DominantRightShare","RegionEntropy","SiteEntropy","TypeEntropy","AdjacentSelfRepeats","CandidateClasses"
"53","617","77","0.004267","0.721847","Core75","TerminalMarker","FormulaOrGrammarMarker","0.1905","0.1746","0.6349","0","0.6151","0.6767","0.9481","142","0.5085","892","0.1667","0.639","0.5812","0.8492","0","Unclassified"
"54","692","77","0.004267","0.726114","Core75","InitialMarker","FormulaOrGrammarMarker","0.7818","0.1636","0.0364","0.0182","0.7329","0.9692","0.5406","740","0.1765","060","0.6522","0.6418","0.5634","0.6669","0","InitialCandidate"
"55","435","75","0.004157","0.73027","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.0185","0.9259","0.0556","0","0.8572","0.2463","0.5661","255","0.9104","690","0.5672","0.587","0.5687","0.7524","0","MedialCandidate"
"56","615","73","0.004046","0.734316","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.1","0.8667","0.0333","0","0.7412","0.6027","0.6724","503","0.6066","752","0.4531","0.5019","0.4376","0.6566","0","MedialCandidate"
"57","904","64","0.003547","0.737863","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.119","0.8333","0.0476","0","0.8672","0.8997","0.7097","240","0.1481","740","0.4821","0.8545","0.6629","0.783","0","Unclassified"
"58","527","63","0.003491","0.741354","Core75","TerminalMarker","FormulaOrGrammarMarker","0.0426","0.0851","0.8723","0","0.3125","0.6594","0.955","550","0.4333","400","0.2727","0.6856","0.5806","0.5565","0","TerminalCandidate"
"59","055","62","0.003436","0.744791","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0.2391","0.7391","0.0217","0","0.8778","0.8381","0.8178","001","0.3171","740","0.2632","0.7529","0.728","0.82","0","Unclassified"
"60","585","60","0.003325","0.748116","Core75","MedialCarrier","CorePhoneticOrMorphemicCandidate","0","0.9574","0.0426","0","0.791","0.6879","0.6658","017","0.5357","740","0.5185","0.4744","0.4915","0.6717","0","MedialCandidate"
"61","125","59","0.00327","0.751386","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.3061","0.6122","0.0816","0","0.9078","0.9697","0.9289","632","0.1","390","0.1765","0.728","0.6253","0.5383","0","Unclassified"
"62","388","59","0.00327","0.754655","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.25","0.7222","0.0278","0","0.8898","0.9369","0.7837","233","0.122","740","0.4151","0.8412","0.6535","0.7824","0","Unclassified"
"63","440","58","0.003214","0.75787","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.2174","0.5","0.0217","0.2609","0.9056","0.8972","0.8545","220","0.2727","740","0.2791","0.6671","0.5732","0.6753","0","Unclassified"
"64","413","57","0.003159","0.761029","Extension90","InitialMarker","FormulaOrGrammarMarker","0.6905","0.1429","0.0952","0.0714","0.7911","0.9893","0.6389","840","0.1538","575","0.4681","0.4808","0.4371","0.6895","0","Unclassified"
"65","416","57","0.003159","0.764188","Extension90","MixedPosition","ExtendedInventoryCandidate","0.5227","0.2045","0.1364","0.1364","0.7243","0.9239","0.8737","002","0.2381","861","0.1795","0.7167","0.6388","0.7015","0","Unclassified"
"66","742","57","0.003159","0.767346","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.0909","0.6667","0.0606","0.1818","0.8016","0.8955","0.9678","060","0.2564","760","0.0714","0.7707","0.7098","0.7592","2","Unclassified"
"67","850","57","0.003159","0.770505","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.2093","0.6744","0.0698","0.0465","0.8309","0.8058","0.8247","407","0.3659","900","0.3333","0.7028","0.5937","0.767","0","Unclassified"
"68","717","55","0.003048","0.773554","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.3514","0.6216","0.027","0","0.9484","0.9423","0.8017","002","0.1111","740","0.3673","0.7463","0.639","0.6817","0","Unclassified"
"69","790","55","0.003048","0.776602","Extension90","MixedPosition","ExtendedInventoryCandidate","0.2286","0.3429","0.2857","0.1429","0.75","0.8715","0.9407","740","0.2581","176","0.1212","0.8482","0.6887","0.8809","0","Unclassified"
"70","845","55","0.003048","0.77965","Extension90","MedialCarrier","ExtendedInventoryCandidate","0","1","0","0","0.6739","0.7609","0.5856","033","0.2778","407","0.4906","0.3187","0.3187","0.5296","0","MedialCandidate"
"71","752","53","0.002937","0.782587","Extension90","MedialCarrier","UnclassifiedComputationalLead","0.0204","0.9796","0","0","0.3768","0.6331","0.1701","615","0.5686","740","0.9623","0.8329","0.5874","0.7286","0","MedialCandidate"
"72","013","50","0.002771","0.785358","Extension90","MixedPosition","ExtendedInventoryCandidate","0.3171","0.561","0","0.122","0.7479","0.9335","0.7947","817","0.1786","840","0.4048","0.7436","0.7139","0.8048","0","Unclassified"
"73","005","49","0.002716","0.788074","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.5349","0.4186","0.0233","0.0233","0.8141","0.8234","0.8729","002","0.3913","900","0.2174","0.7926","0.6254","0.733","0","Unclassified"
"74","016","49","0.002716","0.790789","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.439","0.4878","0.0488","0.0244","0.8287","0.7596","0.7555","002","0.4815","220","0.3333","0.855","0.6596","0.6835","0","Unclassified"
"75","595","49","0.002716","0.793505","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.0968","0.6452","0.2581","0","0.8157","0.9256","0.8341","820","0.1136","001","0.2727","0.6403","0.5545","0.7407","0","Unclassified"
"76","350","48","0.00266","0.796165","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.1212","0.8485","0.0303","0","0.9009","0.9052","0.9381","002","0.2105","400","0.1087","0.5482","0.6381","0.4811","0","Unclassified"
"77","455","46","0.002549","0.798714","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.1818","0.6364","0.1212","0.0606","0.8407","0.9775","0.8228","066","0.0882","220","0.3235","0.7278","0.6169","0.6956","0","Unclassified"
