SignI,SignJ,Count,Prob,PMI
243,950,1,7.011147724882563e-05,10.079289825753124
311,243,1,7.011147724882563e-05,10.079289825753124
148,794,1,7.011147724882563e-05,10.079289825753124
442,279,1,7.011147724882563e-05,10.020396136699556
842,871,1,7.011147724882563e-05,10.020396136699556
337,484,7,0.0004907803407417794,9.963812608333189
762,463,1,7.011147724882563e-05,9.963812608333189
727,317,1,7.011147724882563e-05,9.963812608333189
063,444,1,7.011147724882563e-05,9.963812608333189
534,556,1,7.011147724882563e-05,9.909364824310812
143,067,1,7.011147724882563e-05,9.856897404416676
304,354,1,7.011147724882563e-05,9.856897404416676
844,627,1,7.011147724882563e-05,9.856897404416676
081,518,1,7.011147724882563e-05,9.856897404416676
294,844,1,7.011147724882563e-05,9.856897404416676
268,252,1,7.011147724882563e-05,9.856897404416676
036,029,1,7.011147724882563e-05,9.856897404416676
056,091,8,0.000560891817990605,9.818762275529906
512,495,1,7.011147724882563e-05,9.806271331346709
909,540,1,7.011147724882563e-05,9.757361730865762
111,833,1,7.011147724882563e-05,9.757361730865762
257,898,1,7.011147724882563e-05,9.757361730865762
680,297,1,7.011147724882563e-05,9.757361730865762
065,834,1,7.011147724882563e-05,9.757361730865762
544,353,1,7.011147724882563e-05,9.757361730865762
165,763,1,7.011147724882563e-05,9.710056016087405
342,632,1,7.011147724882563e-05,9.710056016087405
409,015,1,7.011147724882563e-05,9.664252326474282
374,309,1,7.011147724882563e-05,9.664252326474282
380,899,1,7.011147724882563e-05,9.664252326474282
411,411,2,0.00014022295449765126,9.664252326474282
301,190,1,7.011147724882563e-05,9.619858207115827
365,287,1,7.011147724882563e-05,9.57678948522394
299,530,1,7.011147724882563e-05,9.57678948522394
480,306,1,7.011147724882563e-05,9.534969309529314
521,521,1,7.011147724882563e-05,9.494327325031968
794,324,1,7.011147724882563e-05,9.494327325031968
070,253,1,7.011147724882563e-05,9.416324813030695
336,018,2,0.00014022295449765126,9.39746578577938
463,513,2,0.00014022295449765126,9.378850107612033
317,688,1,7.011147724882563e-05,9.378850107612033
924,146,1,7.011147724882563e-05,9.342324231586918
015,600,1,7.011147724882563e-05,9.342324231586918
401,698,1,7.011147724882563e-05,9.27193490369552
252,791,1,7.011147724882563e-05,9.27193490369552
221,150,1,7.011147724882563e-05,9.27193490369552
301,354,1,7.011147724882563e-05,9.27193490369552
154,896,2,0.00014022295449765126,9.204820707836983
409,190,1,7.011147724882563e-05,9.204820707836983
474,013,1,7.011147724882563e-05,9.204820707836983
013,547,1,7.011147724882563e-05,9.204820707836983
308,072,1,7.011147724882563e-05,9.172399230144606
716,605,1,7.011147724882563e-05,9.172399230144606
811,832,1,7.011147724882563e-05,9.172399230144606
256,832,1,7.011147724882563e-05,9.172399230144606
746,442,1,7.011147724882563e-05,9.172399230144606
442,556,1,7.011147724882563e-05,9.172399230144606
167,704,2,0.00014022295449765126,9.172399230144606
500,541,1,7.011147724882563e-05,9.140690370417268
310,350,3,0.0002103344317464769,9.079289825753126
374,308,1,7.011147724882563e-05,9.079289825753124
177,519,1,7.011147724882563e-05,9.079289825753124
350,895,1,7.011147724882563e-05,9.079289825753124
360,268,1,7.011147724882563e-05,9.079289825753124
350,761,1,7.011147724882563e-05,9.079289825753124
204,346,1,7.011147724882563e-05,9.079289825753124
374,310,1,7.011147724882563e-05,9.079289825753124
595,641,1,7.011147724882563e-05,9.049542482359072
816,595,1,7.011147724882563e-05,9.049542482359072
252,326,1,7.011147724882563e-05,9.049542482359072
267,150,1,7.011147724882563e-05,9.049542482359072
595,342,1,7.011147724882563e-05,9.049542482359072
924,132,1,7.011147724882563e-05,9.020396136699556
842,391,1,7.011147724882563e-05,9.020396136699556
790,290,1,7.011147724882563e-05,9.020396136699556
711,335,18,0.0012620065904788613,9.015595150435734
296,530,1,7.011147724882563e-05,8.991826984502785
490,999,1,7.011147724882563e-05,8.991826984502785
365,278,1,7.011147724882563e-05,8.991826984502785
530,786,1,7.011147724882563e-05,8.991826984502785
035,171,17,0.0011918951132300357,8.98684357698853
697,510,2,0.00014022295449765126,8.963812608333189
317,272,1,7.011147724882563e-05,8.963812608333189
072,219,2,0.00014022295449765126,8.950006808808158
682,413,1,7.011147724882563e-05,8.936331871911081
130,511,3,0.0002103344317464769,8.927286732308074
298,465,1,7.011147724882563e-05,8.909364824310812
521,702,1,7.011147724882563e-05,8.909364824310812
850,493,1,7.011147724882563e-05,8.909364824310812
