"Sign","Side","Neighbor","Count"
"032","Next","702","1"
"032","Next","420","1"
"032","Next","382","1"
"032","Next","350","1"
"032","Next","405","1"
"032","Next","409","1"
"032","Next","408","1"
"032","Prev","START","198"
"032","Prev","840","35"
"032","Prev","002","33"
"032","Prev","700","22"
"032","Prev","520","11"
"032","Prev","905","9"
"032","Prev","031","8"
"032","Prev","741","8"
"032","Prev","820","7"
"032","Prev","060","7"
"032","Prev","220","6"
"032","Prev","578","5"
"032","Prev","027","5"
"032","Prev","171","5"
"032","Prev","803","4"
"032","Prev","028","4"
"032","Prev","900","4"
"032","Prev","806","4"
"032","Prev","033","4"
"032","Prev","233","3"
"032","Prev","235","3"
"032","Prev","025","3"
"032","Prev","032","3"
"032","Prev","904","3"
"032","Prev","798","3"
"032","Prev","920","2"
"032","Prev","645","2"
"032","Prev","740","2"
"032","Prev","845","2"
"032","Prev","240","2"
"032","Prev","029","2"
"032","Prev","231","2"
"032","Prev","226","2"
"032","Prev","059","2"
"032","Prev","001","2"
"032","Prev","368","2"
"032","Prev","142","1"
"032","Prev","923","1"
"032","Prev","091","1"
"032","Prev","063","1"
"032","Prev","014","1"
"032","Prev","901","1"
"032","Prev","015","1"
"032","Prev","055","1"
"032","Prev","850","1"
"032","Prev","013","1"
"032","Prev","530","1"
"032","Prev","545","1"
"032","Prev","257","1"
"032","Prev","388","1"
"032","Prev","390","1"
"032","Prev","521","1"
"032","Prev","595","1"
"032","Prev","190","1"
"032","Prev","776","1"
"032","Prev","154","1"
"032","Prev","690","1"
"032","Prev","692","1"
"032","Prev","716","1"
"033","Next","700","141"
"033","Next","END","62"
"033","Next","520","47"
"033","Next","845","15"
"033","Next","923","13"
"033","Next","550","9"
"033","Next","033","9"
"033","Next","590","6"
"033","Next","151","4"
"033","Next","904","4"
"033","Next","032","4"
"033","Next","617","3"
"033","Next","585","3"
"033","Next","176","3"
"033","Next","017","3"
"033","Next","820","3"
"033","Next","740","3"
"033","Next","061","3"
"033","Next","760","3"
"033","Next","482","2"
"033","Next","812","2"
"033","Next","415","2"
"033","Next","031","2"
"033","Next","001","2"
"033","Next","220","2"
"033","Next","142","2"
"033","Next","772","1"
"033","Next","744","1"
"033","Next","752","1"
"033","Next","803","1"
"033","Next","892","1"
"033","Next","850","1"
"033","Next","005","1"
"033","Next","927","1"
"033","Next","002","1"
"033","Next","840","1"
"033","Next","807","1"
"033","Next","806","1"
"033","Next","809","1"
"033","Next","813","1"
"033","Next","810","1"
"033","Next","235","1"
"033","Next","066","1"
"033","Next","240","1"
"033","Next","368","1"
"033","Next","255","1"
"033","Next","095","1"
"033","Next","093","1"
"033","Next","111","1"
"033","Next","136","1"
"033","Next","125","1"
"033","Next","555","1"
"033","Next","055","1"
"033","Next","070","1"
"033","Next","741","1"
"033","Next","732","1"
"033","Next","388","1"
"033","Next","384","1"
"033","Next","413","1"
"033","Next","465","1"
"033","Next","455","1"
"033","Prev","START","185"
"033","Prev","705","82"
"033","Prev","706","39"
"033","Prev","700","27"
"033","Prev","711","13"
"033","Prev","033","9"
"033","Prev","740","4"
"033","Prev","368","2"
"033","Prev","001","2"
"033","Prev","741","2"
"033","Prev","240","2"
"033","Prev","255","2"
"033","Prev","272","2"
"033","Prev","900","1"
"033","Prev","002","1"
"033","Prev","832","1"
"033","Prev","817","1"
"033","Prev","853","1"
"033","Prev","720","1"
"033","Prev","400","1"
"033","Prev","426","1"
"033","Prev","171","1"
"033","Prev","137","1"
"033","Prev","151","1"
"033","Prev","060","1"
"033","Prev","702","1"
"033","Prev","590","1"
"033","Prev","495","1"
"033","Prev","503","1"
"034","Next","700","110"
"034","Next","END","27"
"034","Next","390","3"
"034","Next","220","1"
"034","Next","034","1"
"034","Next","287","1"
"034","Prev","START","123"
"034","Prev","700","13"
"034","Prev","690","1"
"034","Prev","705","1"
"034","Prev","400","1"
"034","Prev","002","1"
