SignI,SignJ,CoocDocCount,PMI,HypergeomP,DirectedAdjacency,SameCommunity
017,407,10,2.120,8.14e-05,1,False
368,900,12,2.104,1.73e-05,7,False
231,407,11,2.076,4.72e-05,0,False
055,741,12,2.063,1.94e-05,0,True
002,817,160,2.053,5.72e-79,155,False
233,803,23,2.046,3.48e-09,18,False
125,390,14,2.041,4.04e-06,9,False
140,850,5,2.040,6.89e-03,5,False
140,920,14,2.007,7.19e-06,10,False
002,890,8,1.992,1.18e-04,0,True
415,803,20,1.987,8.35e-08,16,True
803,850,6,1.984,3.71e-03,0,False
390,621,5,1.979,7.18e-03,4,True
350,741,9,1.970,3.65e-04,3,False
220,455,16,1.969,7.53e-07,12,False
742,798,6,1.964,3.93e-03,2,False
255,832,5,1.963,8.49e-03,5,False
368,817,21,1.959,5.06e-08,20,True
032,840,51,1.957,1.78e-19,48,False
407,590,24,1.946,6.04e-09,22,True
255,803,15,1.941,6.02e-06,1,True
240,838,5,1.937,7.42e-03,4,False
002,880,7,1.937,4.77e-04,6,True
240,679,5,1.937,7.42e-03,0,False
100,717,6,1.935,4.41e-03,3,True
226,415,5,1.933,8.98e-03,5,False
240,645,7,1.925,1.63e-03,0,False
002,861,181,1.924,4.49e-79,175,False
617,892,5,1.924,9.75e-03,5,False
400,605,6,1.919,2.94e-03,0,False
033,700,189,1.916,2.92e-74,186,True
060,741,39,1.902,1.61e-13,38,False
001,850,9,1.902,5.33e-04,2,True
690,920,14,1.901,1.71e-05,0,True
233,527,10,1.900,2.72e-04,0,True
405,520,29,1.899,2.11e-10,0,True
001,095,5,1.897,9.70e-03,1,True
240,405,32,1.883,2.55e-11,2,False
415,920,21,1.872,1.60e-07,0,True
002,048,12,1.867,8.11e-06,12,False
104,240,7,1.866,2.12e-03,0,False
176,790,8,1.864,1.30e-03,4,True
031,384,6,1.863,5.10e-03,5,True
440,741,8,1.861,1.30e-03,3,False
231,520,23,1.846,3.68e-08,9,False
100,790,5,1.845,1.19e-02,1,True
235,482,8,1.833,1.42e-03,5,False
001,142,13,1.829,5.43e-05,11,True
100,176,22,1.823,1.40e-07,20,True
033,335,15,1.823,7.21e-06,1,True
033,923,15,1.823,7.21e-06,14,False
032,070,14,1.816,1.27e-05,7,False
798,904,7,1.810,3.46e-03,1,False
407,415,17,1.809,4.87e-06,0,True
016,220,16,1.807,4.29e-06,16,False
235,806,25,1.801,2.30e-08,20,False
407,690,11,1.795,2.80e-04,0,True
013,817,7,1.793,3.47e-03,5,False
032,095,11,1.780,1.44e-04,0,False
002,260,5,1.774,6.92e-03,1,False
255,920,15,1.755,2.91e-05,12,True
235,705,39,1.748,5.58e-12,24,True
482,861,8,1.748,2.08e-03,0,False
070,861,7,1.743,4.02e-03,0,False
240,520,79,1.735,5.59e-24,46,False
031,480,6,1.730,8.15e-03,5,False
097,400,7,1.727,3.21e-03,6,False
233,388,8,1.723,2.54e-03,5,True
407,803,12,1.707,2.61e-04,0,True
033,413,17,1.702,6.54e-06,2,True
005,390,9,1.701,1.41e-03,7,False
585,705,9,1.693,1.57e-03,1,False
090,741,27,1.680,4.16e-08,0,True
550,617,6,1.676,1.07e-02,6,False
407,705,19,1.676,5.09e-06,1,False
002,317,7,1.674,2.24e-03,1,False
235,527,11,1.673,5.16e-04,0,True
125,741,9,1.672,1.73e-03,4,False
