Sign,DocFrequency,Degree,WeightedDegree,DegreeCentrality,Betweenness,PageRank,Community,FunctionalClass,IsBridge
285,5,1,2.130,0.003,0.0000,0.000591,C2,ROOT_OR_UNRESOLVED,False
621,22,1,1.979,0.003,0.0000,0.000590,C12,ROOT_OR_UNRESOLVED,False
679,17,5,13.107,0.016,0.0016,0.000584,C5,ROOT_OR_UNRESOLVED,False
922,4,1,5.741,0.003,0.0000,0.000581,C12,ROOT_OR_UNRESOLVED,False
799,4,2,9.890,0.006,0.0000,0.000579,C3,Unknown,False
683,2,1,4.674,0.003,0.0000,0.000573,C12,ROOT_OR_UNRESOLVED,False
298,8,2,8.727,0.006,0.0002,0.000567,C10,Unknown,False
554,15,2,10.945,0.006,0.0002,0.000562,C7,ROOT_OR_UNRESOLVED,False
421,5,4,18.506,0.013,0.0012,0.000560,C0,Unknown,False
167,18,3,14.103,0.009,0.0064,0.000558,C6,ROOT_OR_UNRESOLVED,False
324,3,1,3.848,0.003,0.0000,0.000556,C14,ROOT_OR_UNRESOLVED,False
161,12,2,9.453,0.006,0.0004,0.000553,C12,ROOT_OR_UNRESOLVED,False
479,2,1,11.133,0.003,0.0000,0.000553,C13,Unknown,False
786,3,1,3.848,0.003,0.0000,0.000553,C14,ROOT_OR_UNRESOLVED,False
561,3,1,4.571,0.003,0.0000,0.000547,C8,ROOT_OR_UNRESOLVED,False
155,8,1,3.685,0.003,0.0000,0.000547,C9,ROOT_OR_UNRESOLVED,False
158,39,9,43.682,0.028,0.0067,0.000546,C9,Unknown,False
470,4,2,10.532,0.006,0.0000,0.000542,C9,Unknown,False
081,4,1,3.385,0.003,0.0000,0.000542,C12,ROOT_OR_UNRESOLVED,False
704,5,1,6.641,0.003,0.0000,0.000542,C6,Unknown,False
611,5,1,3.615,0.003,0.0000,0.000541,C14,Unknown,False
219,7,2,9.473,0.006,0.0000,0.000541,C4,ROOT_OR_UNRESOLVED,False
330,3,5,20.893,0.016,0.0025,0.000540,C12,Unknown,False
267,7,1,5.156,0.003,0.0000,0.000533,C4,Unknown,False
515,10,1,2.540,0.003,0.0000,0.000528,C4,Unknown,False
901,2,1,3.179,0.003,0.0000,0.000526,C5,Unknown,False
025,3,1,3.179,0.003,0.0000,0.000523,C5,Unknown,False
336,11,3,14.552,0.009,0.0063,0.000507,C6,Unknown,False
367,3,1,3.520,0.003,0.0000,0.000503,C0,ROOT_OR_UNRESOLVED,False
411,6,1,5.025,0.003,0.0000,0.000503,C3,Unknown,False
732,2,2,12.887,0.006,0.0010,0.000503,C6,Unknown,False
296,3,1,5.963,0.003,0.0000,0.000501,C10,Unknown,False
592,9,4,13.849,0.013,0.0028,0.000500,C9,ROOT_OR_UNRESOLVED,False
215,10,1,5.724,0.003,0.0000,0.000496,C14,ROOT_OR_UNRESOLVED,False
098,8,1,2.563,0.003,0.0000,0.000490,C9,Unknown,False
071,4,1,4.156,0.003,0.0000,0.000485,C8,Unknown,False
513,3,1,6.963,0.003,0.0000,0.000484,C15,Unknown,False
928,2,1,5.489,0.003,0.0000,0.000483,C6,Unknown,False
362,4,1,3.674,0.003,0.0000,0.000482,C12,ROOT_OR_UNRESOLVED,False
736,4,3,16.292,0.009,0.0002,0.000476,C9,Unknown,False
345,3,1,3.800,0.003,0.0000,0.000472,C12,ROOT_OR_UNRESOLVED,False
048,18,5,16.248,0.016,0.0025,0.000471,C1,ROOT_OR_UNRESOLVED,False
361,3,1,3.800,0.003,0.0000,0.000468,C12,ROOT_OR_UNRESOLVED,False
829,3,2,8.468,0.006,0.0000,0.000467,C2,Unknown,False
927,11,1,1.358,0.003,0.0000,0.000463,C15,ROOT_OR_UNRESOLVED,False
908,2,2,13.485,0.006,0.0000,0.000456,C12,Unknown,False
134,3,1,3.754,0.003,0.0000,0.000454,C8,Unknown,False
160,5,1,3.937,0.003,0.0000,0.000454,C12,Unknown,False
891,2,1,4.365,0.003,0.0000,0.000451,C11,Unknown,False
807,3,2,9.686,0.006,0.0000,0.000450,C7,ROOT_OR_UNRESOLVED,False
631,3,1,4.728,0.003,0.0000,0.000450,C4,Unknown,False
059,2,1,3.179,0.003,0.0000,0.000449,C5,Unknown,False
287,2,1,5.419,0.003,0.0000,0.000448,C0,ROOT_OR_UNRESOLVED,False
697,8,3,16.169,0.009,0.0008,0.000448,C15,Unknown,False
610,2,2,9.429,0.006,0.0012,0.000448,C10,ROOT_OR_UNRESOLVED,False
202,5,4,13.795,0.013,0.0043,0.000445,C8,ROOT_OR_UNRESOLVED,False
304,2,1,6.250,0.003,0.0000,0.000440,C10,Unknown,False
299,2,1,4.419,0.003,0.0000,0.000440,C0,Unknown,False
286,3,1,4.703,0.003,0.0000,0.000434,C12,ROOT_OR_UNRESOLVED,False
200,4,2,12.708,0.006,0.0000,0.000423,C7,Unknown,False
241,12,2,6.947,0.006,0.0000,0.000423,C14,ROOT_OR_UNRESOLVED,False
