"Sign","TotalTokens","TextCount","SiteCount","RegionCount","TypeCount","DamagedContextTokens","RarityBand","PositionTotal","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","CandidateClasses"
"845","55","55","3","3","4","15","Active20To99","48","0","0","48","0","0","0","1","0","0.4514","MedialCandidate"
"752","53","53","3","2","5","9","Active20To99","49","1","0","48","0","0.0204","0","0.9796","0","0.6547","MedialCandidate"
"013","50","50","11","5","9","15","Active20To99","41","13","0","23","5","0.3171","0","0.561","0.122","0.2704","Unclassified"
"005","49","49","7","3","8","9","Active20To99","43","23","1","18","1","0.5349","0.0233","0.4186","0.0233","0.2931","Unclassified"
"016","49","49","8","3","8","15","Active20To99","41","18","2","20","1","0.439","0.0488","0.4878","0.0244","0.3458","Unclassified"
"595","49","49","6","4","10","23","Active20To99","31","3","8","20","0","0.0968","0.2581","0.6452","0","0.5318","Unclassified"
"350","48","48","11","6","9","22","Active20To99","33","4","1","28","0","0.1212","0.0303","0.8485","0","0.48","Unclassified"
"455","46","45","8","4","8","17","Active20To99","33","6","4","21","2","0.1818","0.1212","0.6364","0.0606","0.4223","Unclassified"
"154","45","45","5","4","6","9","Active20To99","38","0","29","9","0","0","0.7632","0.2368","0","0.9035","TerminalCandidate"
"832","45","44","6","4","12","23","Active20To99","22","6","6","10","0","0.2727","0.2727","0.4545","0","0.5237","Unclassified"
"923","45","45","4","3","6","18","Active20To99","36","3","0","33","0","0.0833","0","0.9167","0","0.5853","MedialCandidate"
"335","43","43","6","4","7","20","Active20To99","28","1","1","26","0","0.0357","0.0357","0.9286","0","0.473","MedialCandidate"
"480","42","42","10","4","10","21","Active20To99","22","4","1","11","6","0.1818","0.0455","0.5","0.2727","0.4303","Unclassified"
"226","41","41","9","4","8","21","Active20To99","28","4","15","7","2","0.1429","0.5357","0.25","0.0714","0.7054","Unclassified"
"482","41","41","4","3","5","15","Active20To99","33","2","1","30","0","0.0606","0.0303","0.9091","0","0.5742","MedialCandidate"
