"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"222","16","0","2","14","0","0","0.125","0.875","0","0.4258","0.125"
"480","16","1","4","11","0","0.0625","0.25","0.6875","0","0.5959","0.1875"
"632","16","0","6","10","0","0","0.375","0.625","0","0.7906","0.375"
"636","16","0","0","16","0","0","0","1","0","0.4453","0"
"831","16","1","9","6","0","0.0625","0.5625","0.375","0","0.8036","0.5"
"321","15","0","1","14","0","0","0.0667","0.9333","0","0.2222","0.0667"
"436","15","1","0","14","0","0.0667","0","0.9333","0","0.4378","-0.0667"
"463","15","1","0","14","0","0.0667","0","0.9333","0","0.5126","-0.0667"
"491","15","0","13","2","0","0","0.8667","0.1333","0","0.9233","0.8667"
"679","15","11","4","0","0","0.7333","0.2667","0","0","0.2667","-0.4667"
"877","14","0","6","8","0","0","0.4286","0.5714","0","0.6757","0.4286"
"072","13","1","5","7","0","0.0769","0.3846","0.5385","0","0.6084","0.3077"
"320","13","0","3","10","0","0","0.2308","0.7692","0","0.6494","0.2308"
"526","13","13","0","0","0","1","0","0","0","0","-1"
"711","13","0","0","13","0","0","0","1","0","0.3769","0"
"838","13","0","5","8","0","0","0.3846","0.6154","0","0.7237","0.3846"
"921","13","1","4","8","0","0.0769","0.3077","0.6154","0","0.6112","0.2308"
"167","12","12","0","0","0","1","0","0","0","0","-1"
"297","12","0","1","11","0","0","0.0833","0.9167","0","0.6083","0.0833"
"318","12","0","0","12","0","0","0","1","0","0.6833","0"
"605","12","0","8","4","0","0","0.6667","0.3333","0","0.7958","0.6667"
"821","12","2","5","5","0","0.1667","0.4167","0.4167","0","0.5169","0.25"
"065","11","1","0","10","0","0.0909","0","0.9091","0","0.6355","-0.0909"
"137","11","3","7","1","0","0.2727","0.6364","0.0909","0","0.6818","0.3636"
"241","11","9","0","2","0","0.8182","0","0.1818","0","0.0682","-0.8182"
"382","11","1","4","6","0","0.0909","0.3636","0.5455","0","0.5877","0.2727"
"565","11","8","1","2","0","0.7273","0.0909","0.1818","0","0.1351","-0.6364"
"890","11","0","0","11","0","0","0","1","0","0.2545","0"
"905","11","0","10","1","0","0","0.9091","0.0909","0","0.9455","0.9091"
"056","10","0","1","9","0","0","0.1","0.9","0","0.8067","0.1"
"130","10","3","1","6","0","0.3","0.1","0.6","0","0.4333","-0.2"
"161","10","10","0","0","0","1","0","0","0","0","-1"
"190","10","1","5","4","0","0.1","0.5","0.4","0","0.7321","0.4"
"243","10","1","3","6","0","0.1","0.3","0.6","0","0.4733","0.2"
"337","10","0","1","9","0","0","0.1","0.9","0","0.4344","0.1"
"365","10","2","0","8","0","0.2","0","0.8","0","0.5125","-0.2"
"484","10","1","4","5","0","0.1","0.4","0.5","0","0.6439","0.3"
"525","10","1","0","9","0","0.1","0","0.9","0","0.295","-0.1"
"530","10","0","3","7","0","0","0.3","0.7","0","0.8204","0.3"
"554","10","0","3","7","0","0","0.3","0.7","0","0.5167","0.3"
"853","10","0","9","1","0","0","0.9","0.1","0","0.975","0.9"
"868","10","10","0","0","0","1","0","0","0","0","-1"
"063","9","1","1","7","0","0.1111","0.1111","0.7778","0","0.4971","0"
"111","9","3","1","5","0","0.3333","0.1111","0.5556","0","0.4315","-0.2222"
"136","9","8","0","1","0","0.8889","0","0.1111","0","0.0926","-0.8889"
"347","9","0","8","1","0","0","0.8889","0.1111","0","0.9444","0.8889"
"371","9","0","6","3","0","0","0.6667","0.3333","0","0.8048","0.6667"
"374","9","0","3","6","0","0","0.3333","0.6667","0","0.6961","0.3333"
"406","9","3","1","5","0","0.3333","0.1111","0.5556","0","0.2947","-0.2222"
"519","9","0","5","4","0","0","0.5556","0.4444","0","0.7315","0.5556"
"773","9","0","1","8","0","0","0.1111","0.8889","0","0.314","0.1111"
"792","9","0","5","4","0","0","0.5556","0.4444","0","0.7926","0.5556"
"794","9","0","2","7","0","0","0.2222","0.7778","0","0.6097","0.2222"
"924","9","1","2","6","0","0.1111","0.2222","0.6667","0","0.6667","0.1111"
"927","9","0","3","6","0","0","0.3333","0.6667","0","0.5463","0.3333"
"101","8","0","2","6","0","0","0.25","0.75","0","0.6667","0.25"
"215","8","4","3","1","0","0.5","0.375","0.125","0","0.4062","-0.125"
"232","8","3","1","4","0","0.375","0.125","0.5","0","0.4077","-0.25"
"250","8","2","3","3","0","0.25","0.375","0.375","0","0.6625","0.125"
"260","8","0","5","3","0","0","0.625","0.375","0","0.718","0.625"
"269","8","1","0","7","0","0.125","0","0.875","0","0.3686","-0.125"
"298","8","4","0","4","0","0.5","0","0.5","0","0.3292","-0.5"
"315","8","0","3","5","0","0","0.375","0.625","0","0.8146","0.375"
"317","8","5","3","0","0","0.625","0.375","0","0","0.375","-0.25"
"336","8","0","0","8","0","0","0","1","0","0.4792","0"
"360","8","1","4","3","0","0.125","0.5","0.375","0","0.7875","0.375"
"417","8","0","0","8","0","0","0","1","0","0.4","0"
"422","8","6","0","2","0","0.75","0","0.25","0","0.1875","-0.75"
"467","8","0","5","3","0","0","0.625","0.375","0","0.8333","0.625"
"468","8","0","6","2","0","0","0.75","0.25","0","0.8333","0.75"
"504","8","4","0","4","0","0.5","0","0.5","0","0.3139","-0.5"
"510","8","0","4","4","0","0","0.5","0.5","0","0.7263","0.5"
"545","8","0","8","0","0","0","1","0","0","1","1"
"597","8","0","0","8","0","0","0","1","0","0.4625","0"
"703","8","0","5","3","0","0","0.625","0.375","0","0.8708","0.625"
"772","8","0","0","8","0","0","0","1","0","0.3137","0"
"776","8","2","1","5","0","0.25","0.125","0.625","0","0.5122","-0.125"
"812","8","1","0","7","0","0.125","0","0.875","0","0.5999","-0.125"
"844","8","0","2","6","0","0","0.25","0.75","0","0.4429","0.25"
"906","8","1","2","5","0","0.125","0.25","0.625","0","0.785","0.125"
"015","7","1","4","2","0","0.1429","0.5714","0.2857","0","0.6548","0.4286"
"066","7","1","3","3","0","0.1429","0.4286","0.4286","0","0.6548","0.2857"
"093","7","2","0","5","0","0.2857","0","0.7143","0","0.3476","-0.2857"
"098","7","0","5","2","0","0","0.7143","0.2857","0","0.8571","0.7143"
"219","7","0","5","2","0","0","0.7143","0.2857","0","0.7976","0.7143"
"323","7","1","5","1","0","0.1429","0.7143","0.1429","0","0.8095","0.5714"
"391","7","2","4","1","0","0.2857","0.5714","0.1429","0","0.6429","0.2857"
"408","7","3","4","0","0","0.4286","0.5714","0","0","0.5714","0.1429"
"540","7","0","2","5","0","0","0.2857","0.7143","0","0.6143","0.2857"
"592","7","4","2","1","0","0.5714","0.2857","0.1429","0","0.3571","-0.2857"
"804","7","4","1","2","0","0.5714","0.1429","0.2857","0","0.25","-0.4286"
"880","7","0","5","2","0","0","0.7143","0.2857","0","0.881","0.7143"
"014","6","0","3","3","0","0","0.5","0.5","0","0.8083","0.5"
"018","6","0","3","3","0","0","0.5","0.5","0","0.7167","0.5"
"036","6","1","3","2","0","0.1667","0.5","0.3333","0","0.6587","0.3333"
"064","6","4","1","1","0","0.6667","0.1667","0.1667","0","0.25","-0.5"
"221","6","0","3","3","0","0","0.5","0.5","0","0.7153","0.5"
