"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"018","6","3","0","3","0","0.5","0","0.5","0","0.2833","-0.5"
"036","6","3","1","2","0","0.5","0.1667","0.3333","0","0.3413","-0.3333"
"064","6","1","4","1","0","0.1667","0.6667","0.1667","0","0.75","0.5"
"221","6","3","0","3","0","0.5","0","0.5","0","0.2847","-0.5"
"234","6","3","2","1","0","0.5","0.3333","0.1667","0","0.4333","-0.1667"
"252","6","0","0","6","0","0","0","1","0","0.2042","0"
"263","6","5","0","1","0","0.8333","0","0.1667","0","0.1","-0.8333"
"354","6","2","1","3","0","0.3333","0.1667","0.5","0","0.4611","-0.1667"
"370","6","5","1","0","0","0.8333","0.1667","0","0","0.1667","-0.6667"
"423","6","0","5","1","0","0","0.8333","0.1667","0","0.9167","0.8333"
"465","6","5","0","1","0","0.8333","0","0.1667","0","0.1458","-0.8333"
"518","6","3","0","3","0","0.5","0","0.5","0","0.3373","-0.5"
"521","6","1","1","4","0","0.1667","0.1667","0.6667","0","0.5875","0"
"556","6","5","1","0","0","0.8333","0.1667","0","0","0.1667","-0.6667"
"603","6","3","0","3","0","0.5","0","0.5","0","0.375","-0.5"
"642","6","0","0","6","0","0","0","1","0","0.6889","0"
"702","6","2","0","4","0","0.3333","0","0.6667","0","0.3389","-0.3333"
"851","6","3","3","0","0","0.5","0.5","0","0","0.5","0"
"027","5","5","0","0","0","1","0","0","0","0","-1"
"150","5","0","0","5","0","0","0","1","0","0.5514","0"
"155","5","0","3","2","0","0","0.6","0.4","0","0.7667","0.6"
"159","5","0","3","2","0","0","0.6","0.4","0","0.8","0.6"
"201","5","5","0","0","0","1","0","0","0","0","-1"
"257","5","0","1","4","0","0","0.2","0.8","0","0.3952","0.2"
"267","5","0","1","4","0","0","0.2","0.8","0","0.6","0.2"
"352","5","3","0","2","0","0.6","0","0.4","0","0.2933","-0.6"
"401","5","0","4","1","0","0","0.8","0.2","0","0.85","0.8"
"426","5","1","4","0","0","0.2","0.8","0","0","0.8","0.6"
"456","5","3","0","2","0","0.6","0","0.4","0","0.2667","-0.6"
"472","5","2","0","3","0","0.4","0","0.6","0","0.381","-0.4"
"511","5","1","2","2","0","0.2","0.4","0.4","0","0.62","0.2"
"531","5","2","0","3","0","0.4","0","0.6","0","0.3333","-0.4"
"564","5","2","0","3","0","0.4","0","0.6","0","0.2833","-0.4"
"572","5","1","0","4","0","0.2","0","0.8","0","0.1419","-0.2"
"578","5","0","0","5","0","0","0","1","0","0.3333","0"
"626","5","1","0","4","0","0.2","0","0.8","0","0.36","-0.2"
"704","5","2","0","3","0","0.4","0","0.6","0","0.2667","-0.4"
"791","5","2","1","2","0","0.4","0.2","0.4","0","0.3167","-0.2"
"808","5","4","1","0","0","0.8","0.2","0","0","0.2","-0.6"
"019","4","3","0","1","0","0.75","0","0.25","0","0.125","-0.75"
"028","4","4","0","0","0","1","0","0","0","0","-1"
"049","4","2","0","2","0","0.5","0","0.5","0","0.25","-0.5"
"067","4","1","0","3","0","0.25","0","0.75","0","0.4583","-0.25"
"103","4","1","1","2","0","0.25","0.25","0.5","0","0.5","0"
"132","4","2","0","2","0","0.5","0","0.5","0","0.2083","-0.5"
"153","4","0","3","1","0","0","0.75","0.25","0","0.875","0.75"
"202","4","0","0","4","0","0","0","1","0","0.6042","0"
"204","4","0","1","3","0","0","0.25","0.75","0","0.4833","0.25"
"244","4","1","2","1","0","0.25","0.5","0.25","0","0.5278","0.25"
"272","4","3","0","1","0","0.75","0","0.25","0","0.125","-0.75"
"322","4","3","0","1","0","0.75","0","0.25","0","0.15","-0.75"
"326","4","3","0","1","0","0.75","0","0.25","0","0.2188","-0.75"
"353","4","3","0","1","0","0.75","0","0.25","0","0.15","-0.75"
"380","4","3","0","1","0","0.75","0","0.25","0","0.1875","-0.75"
"392","4","1","2","1","0","0.25","0.5","0.25","0","0.5556","0.25"
"409","4","0","4","0","0","0","1","0","0","1","1"
"420","4","0","0","4","0","0","0","1","0","0.5619","0"
"421","4","1","0","3","0","0.25","0","0.75","0","0.15","-0.25"
"443","4","0","0","4","0","0","0","1","0","0.5643","0"
"502","4","2","0","2","0","0.5","0","0.5","0","0.0714","-0.5"
"515","4","0","1","3","0","0","0.25","0.75","0","0.55","0.25"
"611","4","0","0","4","0","0","0","1","0","0.3378","0"
"625","4","2","0","2","0","0.5","0","0.5","0","0.2708","-0.5"
"637","4","2","0","2","0","0.5","0","0.5","0","0.2708","-0.5"
"698","4","4","0","0","0","1","0","0","0","0","-1"
"712","4","0","4","0","0","0","1","0","0","1","1"
"736","4","4","0","0","0","1","0","0","0","0","-1"
"746","4","2","0","2","0","0.5","0","0.5","0","0.1833","-0.5"
"799","4","4","0","0","0","1","0","0","0","0","-1"
"825","4","1","0","3","0","0.25","0","0.75","0","0.2634","-0.25"
"842","4","0","4","0","0","0","1","0","0","1","1"
"869","4","0","3","1","0","0","0.75","0.25","0","0.9167","0.75"
"871","4","1","2","1","0","0.25","0.5","0.25","0","0.7292","0.25"
"903","4","2","0","2","0","0.5","0","0.5","0","0.2357","-0.5"
"910","4","4","0","0","0","1","0","0","0","0","-1"
"007","3","0","0","3","0","0","0","1","0","0.6667","0"
"025","3","3","0","0","0","1","0","0","0","0","-1"
"046","3","2","1","0","0","0.6667","0.3333","0","0","0.3333","-0.3333"
"071","3","1","0","2","0","0.3333","0","0.6667","0","0.3333","-0.3333"
"081","3","0","0","3","0","0","0","1","0","0.3722","0"
"139","3","2","1","0","0","0.6667","0.3333","0","0","0.3333","-0.3333"
"146","3","3","0","0","0","1","0","0","0","0","-1"
"160","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.5","0"
"168","3","0","0","3","0","0","0","1","0","0.2417","0"
"177","3","1","0","2","0","0.3333","0","0.6667","0","0.2778","-0.3333"
"193","3","2","0","1","0","0.6667","0","0.3333","0","0.2381","-0.6667"
"216","3","3","0","0","0","1","0","0","0","0","-1"
"229","3","3","0","0","0","1","0","0","0","0","-1"
"268","3","0","0","3","0","0","0","1","0","0.5889","0"
"278","3","1","0","2","0","0.3333","0","0.6667","0","0.1944","-0.3333"
"279","3","2","0","1","0","0.6667","0","0.3333","0","0.2667","-0.6667"
"285","3","2","0","1","0","0.6667","0","0.3333","0","0.0556","-0.6667"
"292","3","0","1","2","0","0","0.3333","0.6667","0","0.8222","0.3333"
"324","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.5556","0"
"345","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"346","3","2","0","1","0","0.6667","0","0.3333","0","0.037","-0.6667"
"362","3","1","0","2","0","0.3333","0","0.6667","0","0.3905","-0.3333"
"411","3","0","2","1","0","0","0.6667","0.3333","0","0.9444","0.6667"
"470","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"543","3","0","0","3","0","0","0","1","0","0.6138","0"
"552","3","0","0","3","0","0","0","1","0","0.4389","0"
"561","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.4","0"
"634","3","3","0","0","0","1","0","0","0","0","-1"
"643","3","0","0","3","0","0","0","1","0","0.6759","0"
"681","3","3","0","0","0","1","0","0","0","0","-1"
"687","3","3","0","0","0","1","0","0","0","0","-1"
"710","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.5","0"
"720","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"744","3","2","0","1","0","0.6667","0","0.3333","0","0.1111","-0.6667"
"797","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"805","3","1","0","2","0","0.3333","0","0.6667","0","0.2879","-0.3333"
